Day	Pexc	Nexc	Cexc	Pwst	Nwst	Cwst
18218	0.42254	9.00003	68.58901	7.16108	81.95573	518.87912
18219	0.4244	9.03956	68.8902	7.19252	82.31562	521.15763
18220	0.4259	9.07148	69.13347	7.21792	82.60631	522.99802
18221	0.42801	9.11653	69.47681	7.25377	83.01655	525.59536
18222	0.43317	9.22644	70.31443	7.34122	84.01741	531.93204
18223	0.43586	9.28373	70.75104	7.3868	84.53911	535.235
18224	0.43484	9.26207	70.58596	7.36957	84.34185	533.98613
18225	0.42985	9.15573	69.77555	7.28496	83.37351	527.85535
18226	0.43514	9.26833	70.63369	7.37455	84.39888	534.34721
18227	0.436	9.28666	70.77338	7.38914	84.5658	535.40397
18228	0.44344	9.44506	71.98051	7.51517	86.00818	544.53598
18229	0.44442	9.46601	72.14016	7.53184	86.19895	545.74379
18230	0.45032	9.59162	73.09745	7.63178	87.34279	552.98568
18231	0.45531	9.69798	73.90806	7.71641	88.31137	559.118
18232	0.45443	9.67929	73.76559	7.70154	88.14114	558.04022
18233	0.45873	9.77071	74.46234	7.77428	88.97367	563.31116
18234	0.46396	9.88231	75.31282	7.86308	89.98989	569.74507
18235	0.46648	9.93595	75.72159	7.90576	90.47833	572.83746
18236	0.47068	10.02537	76.40305	7.97691	91.29259	577.99276
18237	0.47301	10.07495	76.78092	8.01636	91.7441	580.85136
18238	0.47378	10.09135	76.90592	8.02941	91.89346	581.79694
18239	0.4786	10.19407	77.68873	8.11114	92.82882	587.71893
18240	0.48067	10.23819	78.02494	8.14624	93.23056	590.26244
18241	0.48099	10.24485	78.07569	8.15154	93.29119	590.6463
18242	0.47683	10.15626	77.40055	8.08105	92.48449	585.53888
18243	0.47449	10.10643	77.02081	8.0414	92.03074	582.66614
18244	0.48806	10.39555	79.22418	8.27145	94.66351	599.33475
18245	0.49222	10.4841	79.89906	8.34191	95.46991	604.44024
18246	0.49354	10.51228	80.11376	8.36432	95.72645	606.06444
18247	0.49064	10.45049	79.64289	8.31516	95.16381	602.50225
18248	0.47902	10.20305	77.75717	8.11828	92.91061	588.23674
18249	0.49271	10.49453	79.97849	8.3502	95.56482	605.04112
18250	0.49519	10.54745	80.38183	8.39231	96.04676	608.09241
