Day        Pexc        Nexc        Cexc        Pwst        Nwst        Cwst
18335        0.90009        20.53849        113.12863        17.13162        196.0648        1241.32781
18336        0.90479        20.64554        113.71831        17.22092        197.08678        1247.79816
18337        0.91034        20.77224        114.41615        17.3266        198.29622        1255.45537
18338        0.914        20.85584        114.87665        17.39633        199.09431        1260.50828
18339        0.92034        21.00047        115.67329        17.51697        200.47499        1269.24963
18340        0.92432        21.09121        116.17308        17.59266        201.34119        1274.73371
18341        0.92573        21.12344        116.35064        17.61955        201.64891        1276.682
18342        0.93051        21.23256        116.95166        17.71056        202.69054        1283.27678
18343        0.93556        21.34765        117.58562        17.80657        203.78928        1290.2331
18344        0.93693        21.37912        117.75893        17.83281        204.08963        1292.13469
18345        0.94093        21.47021        118.26065        17.90879        204.95918        1297.63997
18346        0.94638        21.59476        118.9467        18.01268        206.14818        1305.16778
18347        0.94223        21.5        118.42477        17.93364        205.24362        1299.44084
18348        0.95215        21.72624        119.67092        18.12235        207.40334        1313.11449
18349        0.95306        21.74704        119.78548        18.1397        207.60188        1314.37149
18350        0.95538        21.8        120.07722        18.18388        208.10749        1317.57263
18351        0.94938        21.66305        119.32289        18.06965        206.80015        1309.29559
18352        0.93103        21.24441        117.01695        17.72045        202.80371        1283.99324
18353        0.93324        21.29478        117.29441        17.76247        203.28457        1287.03767
18354        0.93882        21.42203        117.9953        17.86861        204.49929        1294.72836
18355        0.97236        22.18736        122.21081        18.50698        211.80526        1340.98395
18356        0.9647        22.01261        121.24827        18.36122        210.13706        1330.42224
18357        0.97359        22.21547        122.36564        18.53043        212.0736        1342.68289
18358        0.9639        21.99434        121.14765        18.34598        209.96267        1329.31813
18359        0.96156        21.94093        120.85346        18.30143        209.45281        1326.09011
18360        0.95826        21.86568        120.43897        18.23866        208.73446        1321.54208
18361        0.96106        21.92957        120.7909        18.29196        209.34438        1325.40362
18362        0.972        22.17935        122.16671        18.5003        211.72882        1340.50003
18363        0.96385        21.99335        121.14218        18.34515        209.95319        1329.25814
