"day","0_faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2"
161,5.90127054674892,1.15947408564643,1.30449138401818,0.256304797879738,9.60768257435613,1.88770517803489,55.2479156974788,7.76681205696174,49.986209440576,7.02711567058444,115.75753765186,16.2733205003008
162,6.78259922312826,1.3328712140493,1.49931140721783,0.294634689421425,11.0425475071281,2.1700078712943,48.5843277031747,8.92832392186135,43.9572488743009,8.07800735787456,101.795734235223,18.7069644077095
163,6.3626669814183,1.25057010518561,1.40648428010299,0.276441812725239,10.3588683486951,2.03601589054779,50.6373233799507,8.37702462803755,45.8147211532887,7.57921275870064,106.097248986563,17.551861125412
164,6.29199533569632,1.23690088661941,1.39086212683813,0.273420195989553,10.2438099500459,2.01376144347861,50.4457450169039,8.28546048453191,45.6413883486273,7.49636900981459,105.695846702084,17.3600124437812
165,6.15801328107799,1.21078033931945,1.3612450410804,0.267646180270615,10.0256777628779,1.97123535945342,50.5832914021093,8.11049031123076,45.7658350780989,7.33806266254211,105.984039128229,16.9934082711502
166,5.58466196594303,1.09824831858353,1.23450422405057,0.242770680950044,9.09222158665813,1.78802533271143,53.7589513617175,7.35668730151648,48.6390512320301,6.65605041565777,112.637802853122,15.4140114888917
167,5.95363253661487,1.17102183059016,1.31606613967276,0.258857457288351,9.69293156838351,1.90650571717134,50.5274436061328,7.84416537237426,45.7153061198345,7.09710200357671,105.867024698564,16.4353941135461
168,5.81066438883561,1.14311070929578,1.28446265437419,0.25268763047591,9.4601693909464,1.86106445302892,50.820160206651,7.65720092351242,45.9801449488747,6.92794369270172,106.480335671078,16.0436590778355
169,5.58144328072253,1.09821894856619,1.23379272521235,0.242764188630421,9.0869813412465,1.78797751626215,51.5956845576266,7.3564905645582,46.6818098378527,6.65587241555266,108.105243835027,15.4135992781219
170,6.17632038903854,1.21549255104724,1.36529187547168,0.2686878270736,10.055483019347,1.97890717082778,46.9459031376006,8.14205536586666,42.4748647435434,7.36662152149841,98.3628446692585,17.0595445761016
171,5.3626928904284,1.05556692999314,1.18543737577891,0.233335847682694,8.73084035494308,1.71853703690111,51.6361179510602,7.07078326311192,46.7183924319117,6.39737533329174,108.189961421269,14.814974456044
172,5.5339713837351,1.08948295343027,1.22329893745723,0.240833073916165,9.00969376158977,1.77375470312858,49.8238453025374,7.29797193685347,45.0787171784863,6.60292699048647,104.392818729126,15.2909888200739
173,5.99877915554653,1.1812101200768,1.3260459185945,0.261109605490661,9.76643343218804,1.92309296742328,45.950385385682,7.91241228759578,41.5741582060932,7.15884921258666,96.2769979509527,16.5783876502007
174,5.86688711187623,1.1554547016357,1.29689083525685,0.255416302466839,9.55170392951077,1.88116133880339,46.1689262490749,7.73988795354058,41.7718856539249,7.0027557674891,96.7348930932997,16.2169080931326
175,5.22481083617062,1.02919326742313,1.15495818483772,0.227505880167218,8.50635869467777,1.67559886345379,49.7100071287232,6.89411758082478,44.9757207355115,6.23753495407956,104.154300650658,14.4448177883948
176,5.39359332496557,1.06263934870641,1.19226799815028,0.23489922445089,8.78114843082114,1.73005143087639,47.8195015566982,7.11815831669362,43.2652633132031,6.44023847700852,100.193241356891,14.9142364730724
177,5.30336695392857,1.04505897450313,1.17232322139474,0.231013036469113,8.63425356709774,1.70142934796299,47.7589514562772,7.00039504451857,43.2104798890127,6.33369075456442,100.066374479819,14.6674943789913
178,5.5801419611458,1.09980548045222,1.23350506509539,0.243114895678913,9.08486270165492,1.79056050150818,45.1450575308587,7.36711805087613,40.8455282422055,6.6654877603165,94.5896443503706,15.4358663923119
179,5.76269169217661,1.13599812138106,1.27385816353378,0.251115374200025,9.38206647428051,1.84948466077479,43.2573051783144,7.60955679394015,39.1375618279988,6.88483709927918,90.6343537069445,15.9438332825413
180,6.00468726394167,1.18392534620771,1.3273519215029,0.26170981337223,9.77605224725942,1.92751354610658,40.8763900545997,7.93060040521909,36.9834005255902,7.17530512853155,85.6457696382088,16.6164960871257
181,6.30264192305336,1.24290623547461,1.39321558299074,0.274747694157546,10.2611433413921,2.02353857284288,38.2155964239664,8.32568770174382,34.5760158121601,7.53276506348251,80.0707734597391,17.444298041749
182,5.70778980260454,1.12581142325374,1.26172195636521,0.248863577771879,9.292682345293,1.83290000136749,43.6245263074877,7.54132053854179,39.4698095162984,6.82309953487114,91.4037694061648,15.8008620807542
183,5.54285692120176,1.09348638170365,1.22526310889723,0.241718042271332,9.02416004013198,1.78027256529997,46.15360810267,7.32478915973734,41.7580263786062,6.62719019214331,96.7027979294037,15.3471772870687
184,5.91012272689051,1.16616045683372,1.30644818173369,0.257782837826402,9.62209454483226,1.89859105954683,45.1177163202339,7.81160114625461,40.8207909564021,7.0676391323256,94.5323580042996,16.3671643064382
