FID,Shape *,OBJECTID,farm_id,x,y
371,Point,75,74,21.0964,38.3068
372,Point,75,74,21.1078,38.3068
373,Point,75,74,21.1078,38.2978
374,Point,75,74,21.0964,38.2978
375,Point,76,75,21.0985,38.2876
376,Point,76,75,21.0985,38.2966
377,Point,76,75,21.1099,38.2966
378,Point,76,75,21.1099,38.2876
379,Point,76,75,21.0985,38.2876
380,Point,77,76,20.7356,38.3405
381,Point,77,76,20.7356,38.3495
382,Point,77,76,20.747,38.3495
383,Point,77,76,20.747,38.3405
384,Point,77,76,20.7356,38.3405
385,Point,78,77,20.6878,38.3676
386,Point,78,77,20.6878,38.3766
387,Point,78,77,20.6992,38.3766
388,Point,78,77,20.6992,38.3676
389,Point,78,77,20.6878,38.3676
390,Point,79,78,20.5959,38.3989
391,Point,79,78,20.5959,38.4079
392,Point,79,78,20.6074,38.4079
393,Point,79,78,20.6074,38.3989
394,Point,79,78,20.5959,38.3989
395,Point,80,79,20.4513,38.2378
396,Point,80,79,20.4513,38.2468
397,Point,80,79,20.4628,38.2468
398,Point,80,79,20.4628,38.2378
399,Point,80,79,20.4513,38.2378
400,Point,81,80,20.4571,38.2326
401,Point,81,80,20.4571,38.2416
402,Point,81,80,20.4685,38.2416
403,Point,81,80,20.4685,38.2326
404,Point,81,80,20.4571,38.2326
405,Point,82,81,20.4704,38.2038
406,Point,82,81,20.4704,38.2129
407,Point,82,81,20.4818,38.2129
408,Point,82,81,20.4818,38.2038
409,Point,82,81,20.4704,38.2038
410,Point,83,82,20.7833,38.9961
411,Point,83,82,20.7833,39.0051
412,Point,83,82,20.7949,39.0051
413,Point,83,82,20.7949,38.9961
414,Point,83,82,20.7833,38.9961
415,Point,84,83,20.7904,38.998
416,Point,84,83,20.7904,39.007
417,Point,84,83,20.802,39.007
418,Point,84,83,20.802,38.998
419,Point,84,83,20.7904,38.998
420,Point,85,84,20.8025,38.9526
421,Point,85,84,20.8025,38.9616
422,Point,85,84,20.814,38.9616
423,Point,85,84,20.814,38.9526
424,Point,85,84,20.8025,38.9526
425,Point,86,85,20.7977,38.9534
426,Point,86,85,20.7977,38.9624
427,Point,86,85,20.8092,38.9624
428,Point,86,85,20.8092,38.9534
429,Point,86,85,20.7977,38.9534
430,Point,87,86,20.7947,38.9552
431,Point,87,86,20.7947,38.9642
432,Point,87,86,20.8062,38.9642
433,Point,87,86,20.8062,38.9552
434,Point,87,86,20.7947,38.9552
435,Point,88,87,20.7848,38.9609
436,Point,88,87,20.7848,38.9699
437,Point,88,87,20.7963,38.9699
438,Point,88,87,20.7963,38.9609
439,Point,88,87,20.7848,38.9609
440,Point,89,88,20.2347,39.4885
441,Point,89,88,20.2347,39.4975
442,Point,89,88,20.2464,39.4975
443,Point,89,88,20.2464,39.4885
444,Point,89,88,20.2347,39.4885
445,Point,90,89,23.0038,37.4593
446,Point,90,89,23.0038,37.4683
447,Point,90,89,23.0151,37.4683
448,Point,90,89,23.0151,37.4593
449,Point,90,89,23.0038,37.4593
450,Point,91,90,23.011,37.4645
451,Point,91,90,23.011,37.4735
452,Point,91,90,23.0223,37.4735
453,Point,91,90,23.0223,37.4645
454,Point,91,90,23.011,37.4645
455,Point,92,91,23.0197,37.4666
456,Point,92,91,23.0197,37.4757
457,Point,92,91,23.031,37.4757
458,Point,92,91,23.031,37.4666
459,Point,92,91,23.0197,37.4666
460,Point,93,92,23.1697,37.7545
461,Point,93,92,23.1697,37.7635
462,Point,93,92,23.181,37.7635
463,Point,93,92,23.181,37.7545
464,Point,93,92,23.1697,37.7545
465,Point,94,93,23.155,37.761
466,Point,94,93,23.155,37.77
467,Point,94,93,23.1663,37.77
468,Point,94,93,23.1663,37.761
469,Point,94,93,23.155,37.761
470,Point,95,94,21.0253,38.4286
471,Point,95,94,21.0253,38.4377
472,Point,95,94,21.0367,38.4377
473,Point,95,94,21.0367,38.4286
474,Point,95,94,21.0253,38.4286
475,Point,96,95,23.1713,37.7714
476,Point,96,95,23.1713,37.7804
477,Point,96,95,23.1826,37.7804
478,Point,96,95,23.1826,37.7714
479,Point,96,95,23.1713,37.7714
480,Point,97,96,23.1718,37.7927
481,Point,97,96,23.1718,37.8017
482,Point,97,96,23.1832,37.8017
483,Point,97,96,23.1832,37.7927
484,Point,97,96,23.1718,37.7927
485,Point,98,97,20.824,38.9617
486,Point,98,97,20.824,38.9707
487,Point,98,97,20.8355,38.9707
488,Point,98,97,20.8355,38.9617
489,Point,98,97,20.824,38.9617
490,Point,99,98,20.2257,39.4893
491,Point,99,98,20.2257,39.4983
492,Point,99,98,20.2373,39.4983
493,Point,99,98,20.2373,39.4893
494,Point,99,98,20.2257,39.4893
495,Point,100,99,23.0655,37.3459
496,Point,100,99,23.0655,37.3549
497,Point,100,99,23.0768,37.3549
498,Point,100,99,23.0768,37.3459
499,Point,100,99,23.0655,37.3459
500,Point,101,100,22.9606,37.0871
501,Point,101,100,22.9606,37.0961
502,Point,101,100,22.9718,37.0961
503,Point,101,100,22.9718,37.0871
504,Point,101,100,22.9606,37.0871
505,Point,102,101,23.2729,37.2633
506,Point,102,101,23.2729,37.2723
507,Point,102,101,23.2842,37.2723
508,Point,102,101,23.2842,37.2633
509,Point,102,101,23.2729,37.2633
510,Point,103,102,22.9529,37.0961
511,Point,103,102,22.9529,37.1051
512,Point,103,102,22.9641,37.1051
513,Point,103,102,22.9641,37.0961
514,Point,103,102,22.9529,37.0961
515,Point,104,103,22.7938,37.3465
516,Point,104,103,22.7938,37.3555
517,Point,104,103,22.8051,37.3555
518,Point,104,103,22.8051,37.3465
519,Point,104,103,22.7938,37.3465
520,Point,105,104,23.0607,37.4454
521,Point,105,104,23.0607,37.4544
522,Point,105,104,23.072,37.4544
523,Point,105,104,23.072,37.4454
524,Point,105,104,23.0607,37.4454
525,Point,106,105,23.0454,37.4492
526,Point,106,105,23.0454,37.4582
527,Point,106,105,23.0567,37.4582
528,Point,106,105,23.0567,37.4492
529,Point,106,105,23.0454,37.4492
530,Point,107,106,23.1698,37.8011
531,Point,107,106,23.1698,37.8101
532,Point,107,106,23.1812,37.8101
533,Point,107,106,23.1812,37.8011
534,Point,107,106,23.1698,37.8011
535,Point,108,107,23.1529,37.814
536,Point,108,107,23.1529,37.823
537,Point,108,107,23.1643,37.823
538,Point,108,107,23.1643,37.814
539,Point,108,107,23.1529,37.814
540,Point,109,108,23.0265,37.4714
541,Point,109,108,23.0265,37.4804
542,Point,109,108,23.0378,37.4804
543,Point,109,108,23.0378,37.4714
544,Point,109,108,23.0265,37.4714
545,Point,110,109,23.0341,37.4743
546,Point,110,109,23.0341,37.4833
547,Point,110,109,23.0454,37.4833
548,Point,110,109,23.0454,37.4743
549,Point,110,109,23.0341,37.4743
550,Point,111,110,23.4337,37.5223
551,Point,111,110,23.4337,37.5313
552,Point,111,110,23.445,37.5313
553,Point,111,110,23.445,37.5223
554,Point,111,110,23.4337,37.5223
555,Point,112,111,20.8188,38.9508
556,Point,112,111,20.8188,38.9598
557,Point,112,111,20.8304,38.9598
558,Point,112,111,20.8304,38.9508
559,Point,112,111,20.8188,38.9508
560,Point,113,112,20.8084,38.9511
561,Point,113,112,20.8084,38.9601
562,Point,113,112,20.8199,38.9601
563,Point,113,112,20.8199,38.9511
564,Point,113,112,20.8084,38.9511
565,Point,114,113,23.1662,37.7572
566,Point,114,113,23.1662,37.7662
567,Point,114,113,23.1776,37.7662
568,Point,114,113,23.1776,37.7572
569,Point,114,113,23.1662,37.7572
570,Point,115,114,23.1378,37.8526
571,Point,115,114,23.1378,37.8617
572,Point,115,114,23.1492,37.8617
573,Point,115,114,23.1492,37.8526
574,Point,115,114,23.1378,37.8526
575,Point,116,115,23.1416,37.8543
576,Point,116,115,23.1416,37.8633
577,Point,116,115,23.153,37.8633
578,Point,116,115,23.153,37.8543
579,Point,116,115,23.1416,37.8543
580,Point,117,116,27.1568,36.9341
581,Point,117,116,27.1568,36.9431
582,Point,117,116,27.1681,36.9431
583,Point,117,116,27.1681,36.9341
584,Point,117,116,27.1568,36.9341
585,Point,118,117,27.1516,36.9284
586,Point,118,117,27.1516,36.9375
587,Point,118,117,27.1628,36.9375
588,Point,118,117,27.1628,36.9284
589,Point,118,117,27.1516,36.9284
590,Point,119,118,24.1059,35.4754
591,Point,119,118,24.1059,35.4845
592,Point,119,118,24.1169,35.4845
593,Point,119,118,24.1169,35.4754
594,Point,119,118,24.1059,35.4754
595,Point,120,119,21.6969,36.7471
596,Point,120,119,21.6969,36.7561
597,Point,120,119,21.7081,36.7561
598,Point,120,119,21.7081,36.7471
599,Point,120,119,21.6969,36.7471
600,Point,121,120,23.4028,37.915
601,Point,121,120,23.4028,37.924
602,Point,121,120,23.4142,37.924
603,Point,121,120,23.4142,37.915
604,Point,121,120,23.4028,37.915
605,Point,122,121,21.0133,38.6043
606,Point,122,121,21.0133,38.6133
607,Point,122,121,21.0248,38.6133
608,Point,122,121,21.0248,38.6043
609,Point,122,121,21.0133,38.6043
610,Point,123,122,21.0116,38.6036
