"","x"
"149",822106.980746482
"150",822105.994218105
"151",822105.007690912
"152",822104.021164902
"153",822103.034640077
"154",822102.048116435
"155",822101.061593978
"156",822100.075072704
"157",822099.088552614
"158",822098.102033707
"159",822097.115515985
"160",822096.128999446
"161",822095.142484091
"162",822094.15596992
"163",822093.169456933
"164",822092.18294513
"165",822091.19643451
"166",822090.209925074
"167",822089.223416823
"168",822088.236909754
"169",822087.25040387
"170",822086.26389917
"171",822085.277395653
"172",822084.29089332
"173",822083.304392171
"174",822082.317892206
"175",822081.331393424
"176",822080.344895827
"177",822079.358399413
"178",822078.371904183
"179",822077.385410136
"180",822076.398917274
"181",822075.412425595
"182",822074.4259351
"183",822073.439445789
"184",822072.452957662
"185",822071.466470718
"186",822070.479984959
"187",822069.493500383
"188",822068.50701699
"189",822067.520534782
"190",822066.534053757
"191",822065.547573916
"192",822064.561095259
"193",822063.574617786
"194",822062.588141496
"195",822061.601666391
"196",822060.615192469
"197",822059.62871973
"198",822058.642248176
"199",822057.655777805
"200",822056.669308618
"201",822055.682840615
"202",822054.696373796
"203",822053.70990816
"204",822052.723443708
"205",822051.73698044
"206",822050.750518356
"207",822049.764057455
"208",822048.777597738
"209",822047.791139205
"210",822046.804681856
"211",822045.81822569
"212",822044.831770708
"213",822043.84531691
"214",822042.858864296
"215",822041.872412865
"216",822040.885962618
"217",822039.899513555
"218",822038.913065676
"219",822037.92661898
"220",822036.940173468
"221",822035.95372914
"222",822034.967285995
"223",822033.980844034
"224",822032.994403258
"225",822032.007963664
"226",822031.021525255
"227",822030.035088029
"228",822029.048651987
"229",822028.062217128
"230",822027.075783454
"231",822026.089350963
"232",822025.102919655
"233",822024.116489532
"234",822023.130060592
"235",822022.143632836
"236",822021.157206264
"237",822020.170780875
"238",822019.18435667
"239",822018.197933649
"240",822017.211511812
"241",822016.225091158
"242",822015.238671688
"243",822014.252253401
"244",822013.265836299
"245",822012.27942038
"246",822011.293005644
"247",822010.306592093
"248",822009.320179725
"249",822008.333768541
"250",822007.34735854
"251",822006.360949723
"252",822005.37454209
"253",822004.388135641
"254",822003.401730375
"255",822002.415326293
"256",822001.428923394
"257",822000.44252168
"258",821999.456121149
"259",821998.469721801
"260",821997.483323638
"261",821996.496926658
"262",821995.510530861
"263",821994.524136249
"264",821993.53774282
"265",821992.551350574
"266",821991.564959513
"267",821990.578569635
"268",821989.592180941
"269",821988.60579343
"270",821987.619407103
"271",821986.63302196
"272",821985.646638
"273",821984.660255224
"274",821983.673873632
"275",821982.687493223
"276",821981.701113998
"277",821980.714735957
"278",821979.728359099
"279",821978.741983425
"280",821977.755608935
"281",821976.769235628
"282",821975.782863505
"283",821974.796492565
"284",821973.810122809
"285",821972.823754237
"286",821971.837386849
"287",821971.837386849
"288",821970.851020644
"289",821969.864655623
"290",821968.878291785
"291",821967.891929131
"292",821966.905567661
"293",821965.919207374
"294",821964.932848271
"295",821963.946490352
"296",821962.960133616
"297",821961.973778064
"298",821960.987423695
"299",821960.00107051
"300",821959.014718509
"301",821958.028367691
"302",821957.042018057
"303",821956.055669607
"304",821955.06932234
"305",821954.082976257
"306",821953.096631357
"307",821952.110287642
"308",821951.123945109
"309",821950.13760376
"310",821949.151263595
"311",821948.164924614
"312",821947.178586816
"313",821946.192250201
"314",821945.205914771
"315",821944.219580524
"316",821943.23324746
"317",821942.24691558
"318",821941.260584884
"319",821940.274255372
"320",821939.287927042
