"","x"
"501",4921337.82592668
"502",4921336.84165911
"503",4921335.85739175
"504",4921334.87312458
"505",4921333.8888576
"506",4921332.90459082
"507",4921331.92032424
"508",4921330.93605786
"509",4921329.95179167
"510",4921328.96752568
"511",4921327.98325989
"512",4921326.99899429
"513",4921326.01472889
"514",4921325.03046369
"515",4921324.04619868
"516",4921323.06193387
"517",4921322.07766926
"518",4921321.09340484
"519",4921320.10914063
"520",4921319.1248766
"521",4921318.14061278
"522",4921317.15634915
"523",4921316.17208572
"524",4921315.18782248
"525",4921314.20355945
"526",4921313.21929661
"527",4921312.23503396
"528",4921311.25077152
"529",4921310.26650926
"530",4921309.28224721
"531",4921308.29798536
"532",4921307.3137237
"533",4921306.32946223
"534",4921305.34520097
"535",4921304.3609399
"536",4921303.37667903
"537",4921302.39241835
"538",4921301.40815787
"539",4921300.42389759
"540",4921299.43963751
"541",4921298.45537762
"542",4921297.47111793
"543",4921296.48685843
"544",4921295.50259914
"545",4921294.51834003
"546",4921293.53408113
"547",4921292.54982242
"548",4921291.56556391
"549",4921290.5813056
"550",4921289.59704748
"551",4921288.61278956
"552",4921287.62853184
"553",4921286.64427432
"554",4921285.66001699
"555",4921284.67575986
"556",4921283.69150292
"557",4921282.70724618
"558",4921281.72298964
"559",4921280.7387333
"560",4921279.75447715
"561",4921278.7702212
"562",4921277.78596544
"563",4921276.80170989
"564",4921275.81745453
"565",4921274.83319936
"566",4921273.8489444
"567",4921272.86468963
"568",4921271.88043505
"569",4921270.89618068
"570",4921269.9119265
"571",4921268.92767252
"572",4921267.94341873
"573",4921266.95916514
"574",4921265.97491175
"575",4921264.99065855
"576",4921264.00640556
"577",4921263.02215276
"578",4921262.03790015
"579",4921261.05364774
"580",4921260.06939553
"581",4921259.08514352
"582",4921258.1008917
"583",4921257.11664008
"584",4921256.13238866
"585",4921255.14813743
"586",4921254.1638864
"587",4921253.17963557
"588",4921252.19538493
"589",4921251.21113449
"590",4921250.22688425
"591",4921249.24263421
"592",4921248.25838436
"593",4921247.27413471
"594",4921246.28988525
"595",4921245.30563599
"596",4921244.32138693
"597",4921243.33713807
"598",4921242.3528894
"599",4921241.36864093
"600",4921240.38439266
"601",4921239.40014458
"602",4921238.4158967
"603",4921237.43164902
"604",4921236.44740153
"605",4921235.46315424
"606",4921234.47890715
"607",4921233.49466025
"608",4921232.51041355
"609",4921231.52616705
"610",4921230.54192075
"611",4921229.55767464
"612",4921228.57342873
"613",4921227.58918301
"614",4921226.60493749
"615",4921225.62069217
"616",4921224.63644705
"617",4921223.65220212
"618",4921222.66795739
"619",4921221.68371286
"620",4921220.69946852
"621",4921219.71522438
"622",4921218.73098044
"623",4921217.74673669
"624",4921216.76249314
