"V1","Pexc","Nexc","Cexc","Pwst","Nwst","Cwst"
46,2.47269628293039,56.4223653497467,310.781636601046,47.0631878138823,538.619973432928,3410.11717467811
47,2.43766056538556,55.6229149403893,306.37816104554,46.3963479086382,530.988248751062,3361.79910870634
48,2.57723373503396,58.8077170631923,323.92046027103,49.0528643365904,561.391051330146,3554.28569358452
49,2.60773378745301,59.5036719658038,327.753869279911,49.6333762681367,568.034785757645,3596.34858392038
50,2.55915173102696,58.3951191054969,321.647817715972,48.7087069257077,557.452302934276,3529.34864294772
51,2.55476353392534,58.2949885468822,321.09628573593,48.6251857323516,556.496435194835,3523.29684175992
52,2.62841596663791,59.9756011219458,330.353315697948,50.0270231911732,572.539922470148,3624.87155899623
53,2.66288937421769,60.7622206557497,334.686117142597,50.683160569108,580.049160868306,3672.41413835343
54,2.90366458002954,66.2562664563836,364.948027200748,55.2658700633047,632.496497750294,4004.46934070227
55,2.87714862296415,65.6512212563444,361.615360512278,54.7611879978008,626.72060679729,3967.90095128223
56,3.00059231184592,68.467978398048,377.130420701264,57.1107096735467,653.609973228967,4138.14322748385
57,3.21589866864069,73.3808720716698,404.191270186583,61.2086668619426,700.509507545935,4435.07411632437
58,3.26957822108967,74.605740382831,410.938002196199,62.2303575872094,712.202362553464,4509.10405886077
59,3.32404322897009,75.8485313372316,417.783454427197,63.2669979998861,724.066310948622,4584.21722988553
60,3.39659872313103,77.5041137991538,426.902615310559,64.6479572677904,739.870855407702,4684.27914952502
61,3.48270067961585,79.4688015287592,437.724367717285,66.2867483223815,758.626184897424,4803.02311440625
62,3.54315023040463,80.8481487067276,445.321989170281,67.4372934102181,771.793728224378,4886.3896211501
63,3.58189560544002,81.7322466531479,450.191714234109,68.1747397657605,780.233516408749,4939.82370836884
64,3.60150434157025,82.1796818200237,452.656244612667,68.5479556910887,784.504828258255,4966.86628869421
65,3.75430788053736,85.6663765515414,471.861407109353,71.4562876616097,817.789562282033,5177.59899217278
66,3.71652805189127,84.8043105916272,467.113037057523,70.7372186908587,809.560096155472,5125.4964984651
67,3.64197561199216,83.1031615136995,457.742889399523,69.3182512644197,793.320563029216,5022.68057340826
68,3.88896688876107,88.7390465806436,488.786068357779,74.0192721407846,847.121927899539,5363.30841384288
69,4.02456516343477,91.8331489365413,505.828781615481,76.6001338148449,876.658891094932,5550.31318612874
70,4.03092053036198,91.9781666797937,506.627557974905,76.721096437463,878.04326150432,5559.07792851117
71,3.96186879244699,90.402533468562,497.948767834964,75.406824671536,863.001929700645,5463.84806990265
72,4.16834295974375,95.1138928793087,523.899540710426,79.3366775132633,907.977574817956,5748.59840858623
73,4.27140294681021,97.4655315675478,536.852668706655,81.2982332291384,930.426820962308,5890.7293424755
74,4.38682825153666,100.099323982265,551.359935674981,83.4951398336073,955.569566957611,6049.91339462025
75,4.4677417039222,101.945619624686,561.529569256351,85.0351773354136,973.194700248391,6161.50184789985
76,4.51927827080029,103.121588960403,568.006959427453,86.0160803047795,984.420755172454,6232.57638020215
77,4.59967144490831,104.956012812803,578.111201664285,87.546215274496,1001.93255781525,6343.44731313686
78,4.66814276519634,106.518401965058,586.717041825993,88.8494398673527,1016.84745899784,6437.87671269513
79,4.72647762580004,107.849495816062,594.048877755243,89.9597357494798,1029.55436573987,6518.32683162013
80,4.81912778360632,109.963601413884,605.693642974956,91.7231596717479,1049.73607017348,6646.1014784916
81,4.88156537864718,111.388312092375,613.541132416415,92.9115434948403,1063.33666318374,6732.20971453509
82,4.91448442065648,112.139463872735,617.678572918758,93.5380964069112,1070.50731881779,6777.60865467376
83,4.96482058433248,113.28804222295,624.005090022956,94.4961519276265,1081.47189353287,6847.02770037051
84,5.06707066698066,115.621200387195,636.85642491894,96.4422926149708,1103.74472064053,6988.04168795881
85,5.12004494400255,116.829975614828,643.514514157101,97.4505597305064,1115.28394762895,7061.09897895552
86,5.19376296370089,118.512084763854,652.77978744076,98.8536455159625,1131.34172151956,7162.76414778029
87,5.25666652037513,119.947427826799,660.685841421673,100.050898054561,1145.04381354704,7249.51499560744
88,5.31942446683456,121.379448333392,668.573594335371,101.245379172773,1158.7141877406,7336.06503110761
89,5.38169957273869,122.800451309687,676.400661276831,102.430670316505,1172.27938623229,7421.94917695463
90,5.43169545207926,123.941264999427,682.684409633647,103.382249155996,1183.16983783691,7490.89893353387
91,5.48073601044431,125.06028002773,688.848088162922,104.315645232483,1193.85219475476,7558.53119856006
92,5.510204852725,125.732704618276,692.551889190147,104.876529991557,1200.27130378805,7599.1719379315
93,5.62753224422057,128.409899142405,707.298220552732,107.109639290013,1225.8283756074,7760.97917465571
94,5.68484647391427,129.717704079809,714.501778154083,108.200509355659,1238.31296139663,7840.02173252307
95,5.71308654856912,130.362090461056,718.05114112258,108.738006801881,1244.46441168405,7878.96786766287
96,5.58786719607309,127.504815952998,702.312906074676,106.354688662434,1217.18825780285,7706.27675816573
97,5.64187763535896,128.737234491062,709.101225704011,107.382677204968,1228.95318889207,7780.7630296468
98,5.84257564530912,133.316792652146,734.326020364586,111.202591604226,1272.67063107599,8057.54741897088
99,5.61121753121121,128.037627503407,705.247700541549,106.799118985603,1222.27459087923,7738.47941056529
100,5.72862824252004,130.716723231893,720.004503981966,109.033814122177,1247.84981200221,7900.40155437624
101,5.86551142293261,133.840144765216,737.208711035394,111.639131593955,1277.66666233931,8089.17835145878
102,6.09918978349972,139.17225365593,766.578651790604,116.086765800925,1328.56811482637,8411.4462321611
103,6.030666135904,137.608670491094,757.96623485421,114.782545254814,1313.64181534417,8316.94466755292
104,5.96491376424173,136.108322728147,749.702126634909,113.531070806411,1299.31917454014,8226.2649939395
105,6.14509544259831,140.219736069019,772.348319485903,116.960494883947,1338.56760609215,8474.75513005838
106,6.20443741789846,141.573810418576,779.806734953356,118.089959326498,1351.49388959097,8556.59416971212
107,6.1478819782061,140.283319668513,772.69854612013,117.013531421254,1339.17458873915,8478.5980658041
108,6.1449183078531,140.215694181069,772.326056247835,116.957123452591,1338.52902136486,8474.51084197453
