"site_ID","faeces_c","faeces_l","faeces_p","feed_c","feed_l","feed_p","harvest day"
"234","21603","2388","15008","56168","62080","130073","528"
"235","13019","1439","9045","33849","37412","78387","507"
"238","22506","2488","15636","58516","64675","135510","522"
"24","35855","3963","24910","93224","103037","215886","565"
"240","13085","1446","9090","34020","37601","78784","510"
"241","3043","336","2114","7911","8743","18319","564"
"242","5382","595","3739","13994","15467","32407","520"
"243","62444","6902","43382","162355","179445","375980","527"
"245","13444","1486","9340","34956","38635","80950","551"
"246","7109","786","4939","18483","20429","42804","584"
"247","53308","5892","37035","138600","153189","320968","516"
"248","19704","2178","13689","51231","56624","118641","536"
"249","6026","666","4186","15667","17316","36281","537"
"25","9189","1016","6384","23891","26406","55327","520"
"250","7994","883","5553","20783","22971","48129","496"
"251","22165","2450","15399","57628","63694","133454","507"
"26","16243","1795","11285","42232","46677","97800","532"
"27","24897","2752","17297","64733","71546","149907","548"
"28","19603","2167","13619","50968","56333","118031","551"
"29","20953","2316","14557","54478","60212","126159","503"
"3","6234","689","4331","16209","17916","37537","556"
"30","4922","544","3419","12796","14143","29634","542"
"301","10597","1171","7362","27552","30452","63804","530"
"302","9117","1008","6334","23705","26200","54895","499"
"303","14961","1654","10394","38899","42993","90081","497"
"304","4211","465","2926","10949","12101","25355","480"
"306","22166","2450","15400","57632","63698","133463","499"
"307","9802","1083","6810","25484","28167","59016","488"
"308","2072","229","1439","5386","5953","12473","520"
"309","11360","1256","7892","29536","32645","68399","528"
"31","9416","1041","6542","24482","27059","56695","557"
"311","8174","903","5678","21251","23488","49214","501"
"314","30757","3399","21368","79967","88385","185187","548"
"315","12542","1386","8713","32608","36041","75514","536"
"316","14544","1608","10104","37815","41795","87571","512"
"317","2426","268","1685","6307","6971","14606","522"
"318","16725","1849","11619","43484","48062","100701","525"
"319","13664","1510","9493","35525","39265","82269","585"
"32","9244","1022","6422","24035","26565","55661","511"
"320","4621","511","3211","12016","13281","27826","563"
"321","8083","893","5616","21016","23228","48668","535"
"322","7407","819","5146","19257","21284","44595","560"
"324","4055","448","2817","10543","11653","24416","601"
"326","5670","627","3939","14742","16294","34140","514"
"328","23589","2607","16388","61332","67788","142032","517"
"33","11721","1295","8143","30475","33682","70573","533"
"331","15787","1745","10968","41047","45367","95055","529"
"332","16406","1813","11398","42656","47146","98783","574"
"333","26696","2951","18547","69410","76716","160739","598"
"334","34334","3795","23853","89268","98665","206727","595"
"34","10260","1134","7128","26676","29484","61777","536"
"35","39837","4403","27676","103575","114478","239858","555"
"36","3936","435","2735","10235","11312","23702","542"
"37","18663","2063","12966","48523","53631","112369","534"
"38","12080","1335","8392","31408","34714","72734","532"
"39","17245","1906","11981","44837","49557","103834","529"
"4","5976","661","4152","15539","17175","35985","513"
"40","16804","1857","11674","43690","48289","101176","524"
"41","20835","2303","14475","54170","59872","125447","498"
"42","12763","1411","8867","33183","36676","76846","523"
"43","21019","2323","14602","54649","60401","126555","558"
"44","6362","703","4420","16541","18283","38307","518"
"45","6023","666","4184","15660","17308","36265","530"
"46","7711","852","5357","20049","22159","46429","545"
"47","9154","1012","6360","23801","26307","55119","518"
"49","4760","526","3307","12377","13680","28662","538"
"5","12200","1348","8475","31719","35058","73454","534"
"51","3917","433","2721","10183","11255","23582","542"
"52","2595","287","1803","6747","7458","15625","562"
"53","19131","2115","13291","49741","54977","115190","554"
"54","17493","1933","12153","45483","50270","105328","548"
"55","33042","3652","22955","85908","94951","198946","562"
"56","23589","2607","16388","61330","67786","142028","593"
"57","13845","1530","9618","35996","39786","83360","542"
"58","6552","724","4552","17036","18830","39453","561"
"6","7060","780","4905","18357","20289","42510","504"
"60","12407","1371","8620","32258","35654","74704","547"
"61","6035","667","4193","15691","17343","36338","552"
"62","10556","1167","7334","27446","30335","63560","569"
"63","20441","2259","14201","53145","58740","123074","561"
"64","15364","1698","10674","39946","44151","92506","566"
"65","13682","1512","9505","35573","39318","82380","518"
"66","20481","2264","14229","53251","58856","123317","506"
"67","8695","961","6041","22607","24986","52352","499"
"68","13676","1512","9501","35558","39301","82345","539"
"69","5570","616","3870","14482","16007","33537","510"
"7","8304","918","5769","21590","23862","49997","509"
"70","14265","1577","9910","37089","40993","85891","521"
"71","3472","384","2412","9027","9977","20904","545"
"72","22553","2493","15669","58638","64811","135794","525"
"73","4341","480","3016","11287","12475","26137","550"
"74","15797","1746","10975","41072","45395","95114","510"
"75","37271","4119","25893","96904","107105","224410","574"
"76","14412","1593","10013","37471","41416","86775","525"
"78","4046","447","2811","10520","11627","24362","542"
"79","26199","2896","18201","68117","75287","157744","500"
"8","5036","557","3499","13093","14471","30321","570"
"81","16464","1820","11438","42808","47314","99133","543"
"84","55451","6129","38524","144174","159350","333876","552"
"86","10345","1143","7187","26897","29728","62288","538"
"87","12341","1364","8574","32087","35464","74306","543"
"88","985","109","685","2562","2831","5933","528"
"89","6326","699","4395","16448","18179","38090","501"
"9","12330","1363","8566","32058","35433","74240","567"
"90","1735","192","1206","4512","4987","10449","523"
"91","53352","5897","37066","138716","153318","321237","517"
"92","16020","1771","11130","41653","46038","96460","539"
"93","3937","435","2735","10237","11315","23708","547"
"95","9574","1058","6651","24892","27512","57645","550"
"96","7878","871","5473","20483","22639","47434","560"
"97","16346","1807","11356","42499","46973","98419","547"
"99","3309","366","2299","8604","9510","19926","555"
