"site_ID","faeces_c","faeces_l","faeces_p","feed_c","feed_l","feed_p","harvest day"
"6","19600","6125","36750","9718","7774","19435","450"
"60","53070","16584","99505","53985","43188","107971","418"
"61","22815","7130","42778","24550","19640","49100","429"
"62","25523","7976","47855","29180","23344","58361","426"
"63","68571","21428","128570","46657","37325","93313","453"
"64","67594","21123","126739","63240","50592","126480","424"
"66","60043","18764","112581","26361","21088","52721","463"
"67","30465","9520","57123","22852","18282","45704","431"
"68","48759","15237","91423","34763","27810","69526","439"
"69","19018","5943","35659","17014","13611","34028","425"
"7","25947","8108","48650","23855","19084","47710","416"
"70","43288","13528","81165","38391","30713","76783","416"
"71","14488","4527","27164","10492","8394","20984","418"
"72","73873","23085","138512","52806","42245","105612","436"
"73","12490","3903","23419","8616","6893","17233","445"
"74","47859","14956","89735","44524","35619","89048","412"
"75","92653","28954","173725","80534","64427","161068","422"
"76","46699","14593","87561","23870","19096","47740","448"
"77","4704","1470","8820","2598","2078","5195","438"
"78","13521","4225","25353","9517","7614","19035","427"
"79","82540","25794","154763","61900","49520","123801","423"
"8","19035","5948","35690","13119","10495","26239","428"
"80","10143","3170","19018","10732","8585","21463","415"
"81","46163","14426","86555","46909","37527","93817","404"
"82","38551","12047","72283","30668","24535","61337","429"
"83","47359","14800","88798","35066","28052","70131","436"
"84","67373","21054","126325","69942","55953","139883","415"
"85","71086","22214","133286","33145","26516","66291","469"
"86","31986","9996","59974","18977","15181","37954","450"
"87","42466","13271","79624","37908","30327","75816","422"
"88","7250","2266","13593","5974","4779","11948","428"
"89","28764","8989","53932","17413","13931","34826","458"
"9","30951","9672","58033","32079","25663","64158","417"
"90","39954","12486","74914","19821","15857","39643","452"
"91","131624","41132","246795","126651","101321","253301","426"
"92","60095","18780","112679","41452","33161","82903","442"
"93","15073","4710","28262","11825","9460","23649","433"
"94","70809","22128","132767","37137","29710","74275","451"
"95","27949","8734","52404","19701","15760","39401","450"
"96","30821","9632","57790","20556","16445","41113","446"
"97","51604","16126","96758","26790","21432","53580","451"
"99","10848","3390","20340","8824","7059","17647","429"
