"day","faeces_c","faeces_l","faeces_p","feed_c","feed_l","feed_p","weight"
190,2.48546883695657,0.549419427116716,4.04651768543105,15.8166198715418,17.4815272264409,36.627961807781,106.876453377515
191,2.33506188198396,0.516171573912245,3.80164460786161,14.8594847035343,16.4236409881169,34.4114382608163,107.639024262891
192,2.5145876268341,0.555856212247539,4.09392511877552,16.0019212616716,17.686334026058,37.0570808165026,108.406441952461
193,2.57629432418844,0.569496640083762,4.19438795236294,16.3946002448355,18.1203476390288,37.9664426722507,109.17775831272
194,2.61468275516123,0.577982503772482,4.25688701191161,16.6388902601169,18.3903523927608,38.5321669181654,110.002613865561
195,2.67698010208978,0.591753496251426,4.35831146445494,17.0353279223895,18.8285203352726,39.4502330834284,110.848130856932
196,2.80375007714811,0.619776332843266,4.56470187998849,17.8420459454879,19.720156045013,41.318422189551,111.714624302701
197,2.82401033102754,0.624254915279773,4.59768699507642,17.9709748338116,19.8626563952655,41.6169943519848,112.624449819402
198,2.77548616898289,0.613528521564639,4.51868625406337,17.6621847117093,19.5213620497839,40.9019014376426,113.56568296517
199,2.79805146475685,0.61851663957783,4.55542413911291,17.8057820484527,19.6800748956582,41.234442638522,114.496326407958
200,2.69249866075834,0.595183914483422,4.38357676698901,17.134082386644,18.9376700062907,39.6789276322281,115.416297617283
201,2.77190873602257,0.612737720594464,4.51286194215605,17.6394192292346,19.4962002007329,40.8491813729642,116.313309580438
202,2.87944003622073,0.636507797480372,4.6879304449348,18.3237093214046,20.2525208289209,42.4338531653581,117.199595139501
203,2.84855939283079,0.629681549994176,4.63765459043329,18.127196136196,20.0353220452692,41.9787699996117,118.12811387091
204,2.87906473986184,0.636424837232618,4.68731943612595,18.3213210718481,20.2498811846742,42.4283224821745,119.071092979619
205,2.84493217368,0.628879743655579,4.6317492231141,18.1041138325091,20.0098100254048,41.9253162437052,120.009873997909
206,2.84696249488758,0.629328551501465,4.63505472851872,18.1170340583755,20.0240902750466,41.9552367667644,120.944091590416
207,2.82718618787661,0.624956946793778,4.60285751289385,17.9911848319421,19.8849937616202,41.6637964529185,121.866497512197
208,2.90025462168462,0.64110891637239,4.72181805074268,18.4561657743567,20.3989200663942,42.740594424826,122.780961346572
209,3.02697857847411,0.669121580504805,4.92813354530522,19.2625909539262,21.290232106971,44.6081053669869,123.704773975259
210,3.0017908856372,0.663553774719801,4.88712621380933,19.1023056358731,21.1130746501755,44.2369183146534,124.674552784959
211,3.03046709306591,0.669892725835623,4.93381309186871,19.2847905922376,21.3147685493153,44.6595150557082,125.664427628597
212,2.99354803880806,0.661731671736519,4.8737062807261,19.0498511560513,21.055098646162,44.1154447824346,126.650796861999
213,2.98853365699726,0.6606232294415,4.86554251525168,19.0179414536189,21.0198300276841,44.0415486294333,127.631264911885
214,3.03367449568171,0.670601730624378,4.93903496840811,19.3052013361563,21.3373277925938,44.7067820416252,128.597152560541
215,3.05818425959597,0.676019678437005,4.97893858404397,19.4611725610653,21.5097170411774,45.067978562467,129.568936267108
216,2.96846864468118,0.656187805666366,4.83287526713005,18.8902550116075,20.8787029075662,43.745853711091,130.553748036775
217,3.19429243485856,0.706106748758209,5.20053224482236,20.3273154945545,22.4670329150339,47.0737832505472,131.519475915519
218,3.21017404470493,0.70961742040846,5.22638862015119,20.4283802844859,22.5787361039055,47.3078280272306,132.518120616246
219,3.19785730031949,0.706894771649572,5.20633609595875,20.3500010020331,22.4921063706682,47.1263181099714,133.568738435306
220,3.25250867179189,0.718975601132944,5.29531236389978,20.6977824568575,22.8764963996846,47.9317067421962,134.615755082064
221,3.31652400902324,0.733126359889348,5.39953382521678,21.1051527846934,23.3267478146611,48.8750906592899,135.669094793242
222,3.38018889014884,0.747199649401323,5.50318471940021,21.5102929373108,23.774534299133,49.8133099600881,136.748844760487
223,3.37694338448001,0.746482221832424,5.49790080841658,21.4896397194182,23.7517070583044,49.7654814554949,137.858722509975
224,3.37973336201581,0.747098953708758,5.50244308763275,21.5073941219188,23.7713303452786,49.8065969139171,138.979261753992
225,3.42130081397348,0.756287548352032,5.57011781643401,21.7719142707403,24.0636947202919,50.4191698901354,140.093513085694
226,3.43973442779894,0.760362347197661,5.6001290333288,21.8892190859933,24.1933474108346,50.6908231465107,141.21480081208
227,3.45498156595565,0.763732767211249,5.62495244422253,21.9862463288087,24.3005880476306,50.9155178140832,142.347198964485
228,3.47941553771601,0.769133960968802,5.66473266491307,22.1417352400109,24.4724442126437,51.2755973979201,143.483304741371
229,3.50538416039984,0.774874393351544,5.70701140500184,22.3069901116353,24.6550943339127,51.6582928901029,144.624955006818
230,3.54292019465073,0.78317183250174,5.76812270286996,22.545855784141,24.919103761419,52.211455500116,145.775489032173
231,3.51880396400428,0.777840876253577,5.72885978701047,22.3923888618454,24.7494824262502,51.8560584169051,146.940820719489
232,3.55548792579482,0.785949962544117,5.78858385111857,22.6258322550579,25.0074988082219,52.3966641696078,148.104482660544
233,3.59733824544427,0.79520108583505,5.85671910837242,22.892152471009,25.3018527311152,53.0134057223366,149.26249074916
234,3.60605292647166,0.797127489009526,5.87090722064158,22.9476095320924,25.3631473775758,53.141832600635,150.441716526088
235,3.5863070148187,0.792762603275712,5.83875949079254,22.8219537306644,25.2242646496817,52.8508402183808,151.629515882483
236,3.60022483894688,0.795839174925101,5.86141868516264,22.9105217023892,25.3221555657986,53.0559449950067,152.805064747542
237,3.65003679116728,0.806850238047504,5.94251603895304,23.2275068528827,25.6725075742387,53.7900158698336,153.970160310357
238,3.64837988838486,0.80648397532718,5.93981848494938,23.2169629260855,25.6608537604102,53.7655983551453,155.149209084608
239,3.69748093319454,0.817337890495635,6.01975843158689,23.5294241203288,26.0062056066792,54.4891926997088,156.335799108966
240,3.71568218615917,0.8213613253615,6.04939134869422,23.6452502755584,26.1342239887751,54.7574216907669,157.533424612181
241,3.73240861348404,0.825058746138579,6.07662314616349,23.7516911767167,26.2518691953184,55.0039164092386,158.747739028072
242,3.74060463679483,0.826870498659911,6.08996684727299,23.8038476886943,26.3095158664516,55.1246999106605,159.967983251932
243,3.7643048700246,0.832109497584385,6.12855249014531,23.954667354702,26.4762112867759,55.4739665056258,161.186628718004
244,3.7838100193583,0.83642116217394,6.16030824204298,24.07879103228,26.6134006146252,55.7614108115957,162.404499151705
245,3.79874055937118,0.839721597334683,6.18461620894115,24.1738035596348,26.718414460649,55.9814398223122,163.630980965786
246,3.81567753920779,0.843465561298564,6.21219080067513,24.2815843404133,26.8375405867725,56.2310374199044,164.861197064114
247,3.83341661100263,0.847386829800581,6.24107125440428,24.394469342744,26.9623082209276,56.4924553200387,166.093055570468
248,3.85222003704807,0.851543376610627,6.27168455154493,24.5141275084878,27.0945619830655,56.7695584407086,167.328842560012
249,3.86930922847219,0.855320987346486,6.2995069544249,24.6228769084593,27.2147586882971,57.0213991564321,168.570684954012
250,3.88616858262071,0.859047791947737,6.32695516609127,24.7301637075864,27.3333388347008,57.269852796516,169.817967233527
251,3.90344426785543,0.8628666276312,6.35508119398217,24.8400998863528,27.4548472428109,57.5244418420801,171.069443390262
252,3.91833465485737,0.866158186863209,6.37932378896077,24.934856894547,27.5595786729203,57.7438791242141,172.324736845684
253,3.90615854460477,0.863466625649476,6.35950022700566,24.8573725565759,27.473938088847,57.5644417099652,173.58456603668
254,3.95439918079966,0.874130345229399,6.43803936803875,25.1643584232706,27.813238257299,58.2753563486266,174.849581659232
255,3.97026881150863,0.877638368859804,6.46387624049125,25.2653469823276,27.9248571909936,58.5092245906533,176.117913147668
256,3.98233499904118,0.880305631366999,6.48352084054424,25.3421318120802,28.0097246344044,58.6870420911331,177.388503792752
257,3.99139194867787,0.882307693918266,6.49826619012817,25.3997669461319,28.0734266246721,58.8205129278844,178.663937185149
258,4.00262316586968,0.884790384034351,6.51655139987204,25.4712383282615,28.1524213101838,58.9860256022899,179.943581758327
259,3.99569140984356,0.883258101123314,6.5052660146225,25.4271271535499,28.1036668539236,58.8838734082209,181.226431220459
260,4.00285128678265,0.88484081076248,6.51692279672683,25.4726900067987,28.1540257969881,58.9893873841655,182.510807515128
261,3.97961268190967,0.879703856001086,6.47908871721434,25.3248079757889,27.9905772363983,58.6469237334059,183.795390118091
262,3.98422701838616,0.880723867222204,6.48660118081115,25.3541719351847,28.0230321388883,58.7149244814803,185.077816649422
263,4.00272876515329,0.884813727033886,6.51672332291623,25.4719103237027,28.1531640419872,58.9875818022589,186.356860943549
264,3.9831278328692,0.880480889371086,6.48481162965371,25.3471771182586,28.0153010254438,58.6987259580726,187.637966929837
265,3.99215885182106,0.882477219876235,6.49951476226306,25.4046472388613,28.0788206324257,58.8318146584157,188.917885192388
266,4.06732150942849,0.899092123136825,6.62188484342042,25.8829550599994,28.6074766452625,59.9394748757881,190.194963940987
267,4.04646786375157,0.894482369881927,6.58793364484466,25.7502500420554,28.4608026780613,59.6321579921284,191.482844985008
268,4.04266148443538,0.893640959717295,6.58173659220357,25.7260276282253,28.4340305364595,59.5760639811532,192.776910638231
269,3.98493661272789,0.880880724918798,6.48775645019559,25.3586875355411,28.028023065598,58.725381661253,194.066322471534
270,4.08056148097117,0.902018853688365,6.64344044621271,25.9672094243621,28.7005998900844,60.1345902458912,195.3456302482
271,4.10300791578253,0.906980697172982,6.67998481727402,26.1100503731616,28.8584767282313,60.4653798115322,196.629083132747
272,4.07407959606786,0.900586015972897,6.63288748272101,25.9259610658864,28.6550095991375,60.0390677315263,197.927979198508
273,4.09961659567207,0.906231036938036,6.6744635101468,26.0884692451859,28.8346239025739,60.4154024625359,199.224731565564
274,4.12138445315702,0.91104287911892,6.70990310970125,26.2269919746355,28.9877279719655,60.7361919412611,200.519469158037
275,4.11117433438743,0.908785905496168,6.69328031984479,26.1620184915564,28.9159151748781,60.5857270330779,201.819668638878
276,4.14147404416791,0.915483736079223,6.74261037366284,26.354834826523,29.129027966157,61.032249071948,203.120150474112
277,4.13654844209463,0.914394918778813,6.73459114783125,26.3234900860568,29.0943837793259,60.9596612519209,204.422078669299
278,4.1459354070248,0.916469932079166,6.74987378547195,26.3832253174306,29.1604069297917,61.0979954719445,205.726272675411
279,4.16112312502475,0.919827217110736,6.77460045618065,26.4798744319757,29.2672296353416,61.3218144740491,207.029597785785
280,4.15019752256758,0.917412083935992,6.75681280867143,26.4103478708846,29.1903844888724,61.1608055957326,208.335037607614
281,4.13748558925584,0.914602077624975,6.73611688917442,26.3294537498099,29.1009751971583,60.973471841665,209.639589865651
282,4.12163306751092,0.911097835976098,6.71030787131602,26.2285740659785,28.9894765992394,60.7398557317398,210.938969142266
283,4.15231074099651,0.917879216430808,6.76025327656976,26.4237956245232,29.2052477955256,61.1919477620537,212.232317601641
284,4.10770156655592,0.908018241028151,6.68762641011209,26.1399190599012,28.8914894872592,60.5345494018765,213.526241770212
285,4.14699906973257,0.916705057519832,6.7516055030032,26.3899940801164,29.1678881938128,61.1136705013221,214.816403759485
286,4.16883930590629,0.921532899200338,6.78716294014216,26.5289774012219,29.3215013381927,61.4355266133561,216.103917182334
287,4.18233586150276,0.924516348332189,6.80913627977993,26.6148645731994,29.4164292651151,61.634423222146,217.399250344658
288,4.15166827618483,0.91773719789349,6.75920729877109,26.4197072120852,29.2007290238837,61.1824798595658,218.698363858458
289,4.21489327390865,0.931713250021913,6.86214203190742,26.8220481066914,29.6454215916063,62.1142166681275,219.993135846699
290,4.2394304619502,0.937137260010046,6.902090295947,26.978193848774,29.8180037275923,62.475817334003,221.291242559526
291,4.19066926165343,0.926358468365495,6.82270364002522,26.6678953014309,29.4750421752658,61.7572312243664,222.601209306758
292,4.23313699548234,0.93574607268557,6.89184409089054,26.9381445167059,29.7737386763591,62.3830715123715,223.9058113171
293,4.256256300264,0.940856655847831,6.92948394148243,27.0852673653162,29.9363481406127,62.7237770565218,225.207593897118
294,4.26505387893113,0.942801383763724,6.94380701692647,27.1412519568344,29.9982258470275,62.8534255842481,226.51784603873
295,4.25119501025117,0.939737844371312,6.92124380616331,27.0530591561438,29.9007495936326,62.649189624754,227.831318786891
296,4.24635960470509,0.938668965250599,6.91337142660758,27.0222883935778,29.8667398034281,62.5779310167066,229.142288821488
297,4.25604350444775,0.94080961677266,6.92913749496054,27.0839132101219,29.9348514427663,62.720641118177,230.448573598652
298,4.24711979408047,0.938837007112525,6.91460906825732,27.0271259623303,29.872086589944,62.5891338075018,231.753843971378
299,4.25893087616178,0.941447877888394,6.93383833873356,27.1022873937567,29.9551597509942,62.763191859226,233.057476930374
300,4.21194490902449,0.931061506205414,6.8573418869732,26.8032857847012,29.624684288354,62.0707670803607,234.35977341608
301,4.15785748653148,0.919105339128011,6.76928376754598,26.4590930961093,29.2442607904366,61.2736892752004,235.654789452566
302,4.17862253724075,0.923695508232165,6.80309072729721,26.5912343278956,29.3903116255688,61.5797005488108,236.931865136935
303,4.16424023509533,0.920516262494757,6.77967533012011,26.4997105869703,29.2891538066514,61.3677508329839,238.20170265418
304,4.24967468083727,0.939401771553503,6.9187686031877,27.0433843326008,29.8900563676114,62.6267847702334,239.470794230529
305,4.25734199227759,0.941096650924521,6.93125152426948,27.0921763144937,29.9439843475983,62.7397767283013,240.74956591966
306,4.23722189393021,0.936649050237204,6.89849459222321,26.9641393250104,29.8024697802746,62.4432700158136,242.041409780887
307,4.24537802710764,0.938451984939585,6.9117733493963,27.016041990685,29.8598358844413,62.5634656626389,243.329487561555
308,4.19429665719502,0.927160313695741,6.828609294521,26.6909787276047,29.5005554357736,61.8106875797161,244.613831381765
309,4.22632672560316,0.934240644607016,6.88075649361357,26.8948064356565,29.7258386920413,62.2827096404676,245.889539146411
310,4.2175419816801,0.932298753845076,6.86645431403357,26.8389035197825,29.6640512587069,62.1532502563383,247.160321914373
311,4.19440844112472,0.927185023827569,6.82879128660305,26.6916900798846,29.5013416672409,61.812334921838,248.433076997477
312,4.17610761025775,0.923139577004346,6.79899624968279,26.5752302470949,29.3726229046838,61.5426384669565,249.698898617137
313,4.14852558364411,0.917042497437121,6.75409077477498,26.3997082595535,29.1786249184539,61.1361664958082,250.956220214944
314,4.13466422203471,0.913978406976094,6.73152350534774,26.3114995947662,29.0811311310574,60.931893798406,252.204318403332
315,4.10264213726687,0.90689984086952,6.67938930418186,26.1077226916984,28.8559040276666,60.4599893913016,253.443889576928
316,4.18211154971476,0.924466763621158,6.80877108444789,26.6134371345484,29.414851569764,61.6311175747437,254.674225866222
317,4.19726802318491,0.927817141967192,6.83344688686947,26.7098874202676,29.5214545171379,61.8544761311461,255.910564376473
318,4.19781122443506,0.927937218033013,6.83433125662409,26.7133441554957,29.5252751192321,61.8624812022006,257.160550806609
319,4.1744692545351,0.92277741416039,6.79632889159398,26.5648043470414,29.3610995414668,61.5184942773591,258.411332859836
320,4.17449177579882,0.922782392545002,6.79636555779175,26.5649476641743,29.3612579446137,61.5188261696669,259.656664837578
321,4.11061992783365,0.908663352468492,6.69237770706952,26.1584904498505,28.9120157603611,60.5775568312328,260.896439621619
322,4.19201637985301,0.926656252388561,6.82489684298876,26.676467871792,29.4845171214543,61.7770834925708,262.12410643327
323,4.23699067301878,0.936597938246258,6.89811814835339,26.9626679192104,29.8008434896536,62.4398625497504,263.352873356322
324,4.23096765063845,0.935266533299026,6.88831224524996,26.924339594972,29.758480604969,62.3511022199351,264.600474835094
325,4.21250011695902,0.931184236380415,6.85824580445257,26.8068189261027,29.6285893393767,62.0789490920274,265.85265655504
326,4.21813758596093,0.932430413738733,6.86742399959955,26.8426937288422,29.6682404371414,62.1620275825819,267.099124794699
327,4.3418964722147,0.959787641226408,7.06891215125481,27.6302502777298,30.5386976753856,63.985842748427,268.341760890371
328,4.32728363215966,0.9565574344774,7.04512142218275,27.5372594773797,30.4359183697355,63.7704956318267,269.603673044916
329,4.34855072626287,0.96125858159495,7.07974574381042,27.6725955307637,30.5855003234756,64.0839054396632,270.881368471571
330,4.3517461994202,0.961964949345518,7.08494819835429,27.6929303599468,30.6079756609938,64.1309966230346,272.158351861906
331,4.36091836138268,0.963992479884593,7.0998811216897,27.7512986633442,30.6724879963278,64.2661653256392,273.437501461285
332,4.36089272418179,0.963986812713869,7.09983938252754,27.7511355175205,30.6723076772595,64.2657875142581,274.7168674883
333,4.37301324945916,0.966666086722551,7.11957244824228,27.8282661329218,30.7575573048083,64.4444057815032,275.995938931042
334,4.39128540569568,0.970705194943255,7.14932080085191,27.9445434907907,30.8860743845581,64.7136796628837,277.275184001028
335,4.42186408222592,0.977464691860468,7.19910503211518,28.1391350687103,31.1011492864693,65.1643127906976,278.557538481985
336,4.4433204583291,0.982207680262222,7.23403751812175,28.2756756439123,31.2520625537978,65.4805120174812,279.845947072198
337,4.39363840799815,0.971225332294327,7.15315165372329,27.9595171418063,30.9026242093649,64.7483554862884,281.140897265193
338,4.41810818302776,0.976634440458769,7.1929901646487,28.1152338919949,31.0747321964154,65.1089626972513,282.429607972474
339,4.47680496657255,0.989609518926563,7.28855264733214,28.488758878189,31.4875756022089,65.9739679284377,283.71248374747
340,4.52299290720848,0.999819484751349,7.36374985594644,28.7826821367812,31.8124381511792,66.6546323167565,285.006891844289
341,4.48276976978944,0.990928054374508,7.29826376555193,28.5267167168418,31.5295290028252,66.0618702916337,286.316208331184
342,4.48867108848806,0.992232556402624,7.30787152652091,28.5642705631058,31.571035885538,66.1488370935082,287.624719942545
343,4.50709008514515,0.996304124084717,7.33785894563981,28.6814823600145,31.7005857663319,66.420274938981,288.925974990927
344,4.45569135608977,0.984942299767214,7.25417820780931,28.3543995387532,31.3390731744114,65.6628199844811,290.229322825394
345,4.40275348557243,0.973240244179169,7.16799163966879,28.0175221809154,30.9667350420644,64.8826829452778,291.525696102306
346,4.47589902271839,0.989409257653538,7.28707770716256,28.4829937809352,31.4812036526125,65.9606171769024,292.803664162651
347,4.55815235291494,1.00759157274962,7.42099190088607,29.0064240640042,32.0597318602152,67.1727715166414,294.08309755336
348,4.53837268874471,1.00321922593304,7.38878921957033,28.8805534738299,31.920611734233,66.8812817288692,295.385548459459
349,4.43617164040724,0.980627415247916,7.22239874087354,28.2301831662279,31.2017813942519,65.3751610165278,296.696138019159
350,4.43426590222523,0.980206146807683,7.21929606537722,28.2180557414333,31.1883773984262,65.3470764538455,297.985670890375
351,4.44555866687728,0.98270244215182,7.23768147870546,28.2899187892191,31.267804977558,65.5134961434548,299.256767693874
352,4.42335468141475,0.977794192733787,7.20153183219804,28.1486206999121,31.111633405166,65.1862795155859,300.527644157675
353,4.48141599885436,0.990628799746753,7.29605973146814,28.5181018108913,31.5200072646693,66.0419199831166,301.795072955165
