"w_faeces","w_feed"
960.66594546913,1001.18791006741
965.243317832729,961.363264119957
966.244017182208,978.228435470522
964.712842071417,941.626797081382
969.174715168898,1036.09531027871
981.793874528554,1026.29204696371
993.292149155746,1053.23116697221
1003.27603721137,1033.87042081997
1008.68210894644,1030.51034745761
1013.13287186469,1036.84495839568
1017.25191039848,1037.1301332693
1020.86410259608,1041.39403965762
1025.47793403668,1038.19474545056
1030.47555302136,1032.13585154214
1032.71620359263,1046.61906898798
1037.06996660752,1075.10568331424
1043.11421379075,1071.85041477298
1047.11941211734,1068.56293137978
1046.51273836026,1037.13864323681
1052.29542562749,1133.72203315391
1061.65984037953,1078.65283583793
1058.72356475037,1039.07175774905
1059.33018388535,1107.04063276172
1067.89950931563,1116.71963775924
1076.02472710865,1120.87840122278
1076.21537491246,1059.23054114328
1073.03181853526,1088.52503652283
1056.2579807099,949.565906066619
1039.0501286927,1027.75795876592
1036.31959661425,1051.88493895375
1052.60789811501,1235.55072940407
1067.89143406862,1046.77087652945
1067.72411846214,1119.9835659434
1076.53976987271,1132.64323659564
1077.08199489373,1060.52089479074
1070.4385618544,1064.74064929979
1069.19912947003,1099.14783172042
1073.83398600103,1119.6091069256
1075.83646421036,1083.06011301527
1082.72227209507,1176.6208846151
1089.73185454272,1093.27710485786
1065.45644181604,935.499769562058
1052.29135282625,1111.67651112644
1080.43637196341,980.052431422225
1087.99612216673,1001.80877129439
1084.75382393713,1104.05094661853
1078.47142015098,1053.18238328366
1068.25901956705,1053.00465655426
1065.43906324031,1101.48760750521
1061.03890784139,1036.45614762212
1052.14793922939,1047.22491785134
1053.00558119793,1112.67382200068
1051.01270127553,1025.19146775822
1025.56337516636,914.492034756373
1027.38649494035,1248.22872278225
1040.24211686686,986.610637868892
1027.94030228817,1026.04987240309
1016.43342432546,976.817319261586
1022.33567862481,1184.06116514418
1036.26096960751,1042.35994141512
1014.32932213238,905.195484438536
1006.6658166856,1108.57162814375
1030.43339065808,1210.81761756154
1043.74154164548,1031.37261505749
1044.82603591805,1123.58915508007
1042.74790869587,1007.80758533543
1038.01384132867,1088.7955883524
1040.89160837424,1069.98667249477
1032.93087712175,999.145863854057
1013.58779808032,952.551282681762
997.213863070011,978.420035000869
978.462009012768,909.181369703125
974.326786242259,1069.35262136439
997.4079232801,1026.73528387572
1013.06700060561,1039.41954190103
1019.61573719839,1119.9847442197
1020.00672736079,989.017639129357
1002.90544780937,958.174780613775
988.799824018787,975.797574600578
975.536561846036,942.155714158933
969.797847212061,1013.89080133572
978.870864245678,1077.22127895229
974.219977093903,911.115343787661
960.548946228198,967.533452924058
958.267015101893,991.797934484358
968.205765013997,1091.57015039913
976.840836269907,988.122237384905
977.441330983204,1034.74571463734
974.133663772441,955.698950223837
949.379663747935,851.131984832009
937.824514482817,1001.44343232396
936.579946179363,926.429871323441
948.899700099088,1183.33366415249
976.935610773311,1046.6129017982
973.965081286316,950.135637563845
969.73379337439,1024.16140028537
978.949215214894,1073.77800561626
988.674985240429,1044.54367108235
984.089397470567,962.509591216414
971.047727592382,953.983913159355
964.394847467411,992.297509665889
961.911944887834,980.232211415218
957.35575575429,968.000101428073
954.350545076473,985.89942517743
972.434988884806,1231.05239464853
1003.69043171916,1083.99188306286
994.976493196399,929.458424372584
978.587430033413,977.895784677646
969.105505167486,962.706311727887
957.169839609107,938.191760634453
956.610141204485,1045.3654711051
967.899445555278,1049.39308453288
974.083339596081,1017.7614799544
962.784509764262,909.36241597435
953.88671723029,1004.6833437574
965.718604027281,1102.53055461123
982.348084199753,1063.77555555679
989.256591896057,1042.61883819371
992.127843687511,1039.73439716537
988.871475016709,991.269410038131
979.232942175828,974.033089416069
980.283672697862,1075.17865175349
995.043376755251,1110.93404770076
1005.3725543022,1056.52832841489
1010.07186582909,1080.25798096071
998.978979141354,932.611048100651
991.114784142031,1073.06501593928
996.41184697196,1039.38183705204
993.976281907933,1010.79766801033
986.70599959558,989.700096278823
965.877682155997,888.62016041829
958.8790254057,1061.04813930411
970.868612917431,1052.62378771182
958.961671167088,879.934944036173
955.786051292677,1104.3605704569
969.29029063056,1015.85745058853
973.701064274367,1047.88672125564
971.151859081189,961.278424201151
966.542708811561,1019.56641314818
965.541174026533,985.905290332959
954.482417685268,929.65896066648
953.525763558238,1057.36192930464
963.693418258736,1029.64990600666
973.433456005738,1079.21271964312
978.972995505129,1004.5310399675
950.664002827142,822.92277012157
946.923071159816,1175.06516831174
973.984026384308,1062.94780941355
979.844952962918,1026.60868868228
978.262750662376,1004.30450639984
977.117199198773,1028.19715345141
976.000771779543,1002.11739091635
969.149847478963,973.066770059534
951.655205578113,899.814551765607
947.296242677513,1053.2073211268
965.972439200398,1123.49011048517
966.969749516854,919.078534113814
950.500644395989,948.501144325613
959.939665377907,1166.37648651461
986.248329602193,1098.6296710266
982.180276020007,938.448706673375
975.875938993797,1058.63532056204
992.16780645479,1158.96208007048
1006.04560968258,1049.81820870056
992.795231463977,943.747811775967
986.71490184736,1079.75229121542
993.567110832186,1052.03889311271
988.615195809557,984.986820683361
989.480906271913,1099.17070487045
995.747578615089,1033.18414019031
1006.60815895702,1176.91930744738
1020.65066252583,1066.2036509293
1029.02297188184,1161.9400800586
1045.4116289565,1155.82239196011
1049.8529071364,1078.0123219736
1048.13553359138,1106.89056125586
1060.60689129938,1227.34925941157
1027.69521414781,822.580419249875
997.48623062872,1044.67578318786
1001.78204646872,1091.66964122722
980.962895151544,861.753881453005
965.381879862042,1050.53693303784
987.489561388486,1248.57132351152
996.251069462499,929.156097119711
987.213898505565,1079.01950001925
1008.58065438121,1243.26058306241
1043.4615759338,1232.27816660312
1022.35155489024,851.235186695346
995.944175819335,1044.23124266756
990.249217181363,995.940164728952
