"","x"
"312",2902899.01779687
"313",2902898.14692717
"314",2902897.27605772
"315",2902896.40518854
"316",2902895.53431962
"317",2902894.66345096
"318",2902893.79258256
"319",2902892.92171442
"320",2902892.05084654
"321",2902891.17997893
"322",2902890.30911157
"323",2902889.43824448
"324",2902888.56737765
"325",2902887.69651108
"326",2902886.82564477
"327",2902885.95477872
"328",2902885.08391294
"329",2902884.21304741
"330",2902883.34218215
"331",2902882.47131715
"332",2902881.6004524
"333",2902880.72958792
"334",2902879.8587237
"335",2902878.98785975
"336",2902878.11699605
"337",2902877.24613261
"338",2902876.37526944
"339",2902875.50440653
"340",2902874.63354388
"341",2902873.76268149
"342",2902872.89181936
"343",2902872.02095749
"344",2902871.15009589
"345",2902870.27923454
"346",2902869.40837346
"347",2902868.53751263
"348",2902867.66665207
"349",2902866.79579177
"350",2902865.92493173
"351",2902865.05407196
"352",2902864.18321244
"353",2902863.31235318
"354",2902862.44149419
"355",2902861.57063546
"356",2902860.69977699
"357",2902859.82891878
"358",2902858.95806083
"359",2902858.08720314
"360",2902857.21634571
"361",2902856.34548855
"362",2902855.47463165
"363",2902854.603775
"364",2902853.73291862
"365",2902852.8620625
"366",2902851.99120665
"367",2902851.12035105
"368",2902850.24949571
"369",2902849.37864064
"370",2902848.50778582
"371",2902847.63693127
"372",2902846.76607698
"373",2902845.89522295
"374",2902845.02436918
"375",2902844.15351567
"376",2902843.28266243
"377",2902842.41180944
"378",2902841.54095672
"379",2902840.67010426
"380",2902839.79925206
"381",2902838.92840012
"382",2902838.05754844
"383",2902837.18669702
"384",2902836.31584586
"385",2902835.44499497
"386",2902834.57414434
"387",2902833.70329396
"388",2902832.83244385
"389",2902831.961594
"390",2902831.09074442
"391",2902830.21989509
"392",2902829.34904602
"393",2902828.47819722
"394",2902827.60734867
"395",2902826.73650039
"396",2902825.86565237
"397",2902824.99480461
"398",2902824.12395711
"399",2902823.25310988
"400",2902822.3822629
"401",2902821.51141618
"402",2902820.64056973
"403",2902819.76972354
"404",2902818.89887761
"405",2902818.02803194
"406",2902817.15718653
"407",2902816.28634138
"408",2902815.4154965
"409",2902814.54465187
"410",2902813.67380751
"411",2902812.80296341
"412",2902811.93211957
"413",2902811.06127599
"414",2902810.19043267
"415",2902809.31958961
"416",2902808.44874682
"417",2902807.57790428
"418",2902806.70706201
"419",2902805.83622
"420",2902804.96537824
"421",2902804.09453675
"422",2902803.22369553
"423",2902802.35285456
"424",2902801.48201385
"425",2902800.61117341
"426",2902799.74033323
"427",2902798.8694933
"428",2902797.99865364
