radius,center,image_name
22,"(1146, 1174)","image_(18, 35.3783, 23.53329, 39.79014, 19.91167, 39.79871, 19.89949).jpeg"
16,"(890, 1252)","image_(18, 35.3783, 23.53329, 39.79014, 19.91167, 39.79871, 19.89949).jpeg"
22,"(1058, 1260)","image_(18, 35.3783, 23.53329, 39.79014, 19.91167, 39.79871, 19.89949).jpeg"
14,"(1022, 1294)","image_(18, 35.3783, 23.53329, 39.79014, 19.91167, 39.79871, 19.89949).jpeg"
20,"(1096, 1146)","image_(18, 35.3783, 23.53329, 39.79014, 19.91167, 39.79871, 19.89949).jpeg"
11,"(1002, 1324)","image_(18, 35.3783, 23.53329, 39.79014, 19.91167, 39.79871, 19.89949).jpeg"
16,"(1014, 1230)","image_(18, 35.3783, 23.53329, 39.79014, 19.91167, 39.79871, 19.89949).jpeg"
21,"(898, 1212)","image_(18, 35.38447, 23.53343, 39.7903, 19.91301, 39.79888, 19.90082).jpeg"
22,"(814, 1300)","image_(18, 35.38447, 23.53343, 39.7903, 19.91301, 39.79888, 19.90082).jpeg"
23,"(766, 1202)","image_(18, 35.38447, 23.53343, 39.7903, 19.91301, 39.79888, 19.90082).jpeg"
24,"(856, 1258)","image_(18, 35.38447, 23.53343, 39.7903, 19.91301, 39.79888, 19.90082).jpeg"
21,"(688, 1222)","image_(18, 35.38447, 23.53343, 39.7903, 19.91301, 39.79888, 19.90082).jpeg"
15,"(642, 1294)","image_(18, 35.38447, 23.53343, 39.7903, 19.91301, 39.79888, 19.90082).jpeg"
16,"(700, 1294)","image_(18, 35.38447, 23.53343, 39.7903, 19.91301, 39.79888, 19.90082).jpeg"
10,"(774, 1334)","image_(18, 35.38447, 23.53343, 39.7903, 19.91301, 39.79888, 19.90082).jpeg"
29,"(808, 826)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
29,"(622, 1076)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
