"site_ID","faeces_c","faeces_l","faeces_p","feed_c","feed_l","feed_p","harvest day"
"57","221","49","360","168","152","353","423"
"58","221","49","359","170","154","357","425"
"6","13944","3082","22702","12204","11042","25570","548"
"60","219","48","356","167","151","350","396"
"61","221","49","359","167","151","351","425"
"62","221","49","359","167","151","351","424"
"63","220","49","359","172","155","360","424"
"64","221","49","360","164","148","343","424"
"66","221","49","360","168","152","352","403"
"67","221","49","360","173","157","363","403"
"68","221","49","360","166","150","348","403"
"69","221","49","360","169","152","353","404"
"7","18457","4080","30050","15063","13629","31562","555"
"70","221","49","360","163","147","341","404"
"71","221","49","360","168","152","352","404"
"72","221","49","360","167","151","349","404"
"73","221","49","360","164","148","343","404"
"74","220","49","359","173","157","363","403"
"75","221","49","359","163","147","341","404"
"76","221","49","359","168","152","353","404"
"77","221","49","359","163","148","342","401"
"78","220","49","359","165","149","345","400"
"79","220","49","358","167","151","350","401"
"8","14356","3173","23372","15423","13955","32316","537"
"80","221","49","359","169","153","353","400"
"81","220","49","359","167","151","350","400"
"84","221","49","359","166","150","347","407"
"86","221","49","359","167","151","350","407"
"87","221","49","359","168","152","351","406"
"88","220","49","358","164","148","343","398"
"89","221","49","360","166","150","348","423"
"9","23977","5300","39037","21922","19834","45932","543"
"91","221","49","359","168","152","352","423"
"92","221","49","359","170","154","356","425"
"93","220","49","359","169","153","354","424"
"94","221","49","359","165","150","347","401"
"95","221","49","360","167","151","350","424"
"96","221","49","359","171","155","359","424"
"97","220","49","359","163","147","341","407"
"99","221","49","360","170","153","355","422"
