image,detections
"image_(18, 35.5184, 23.5717, 39.95647, 23.98816, 39.96548, 23.97644).jpeg",64
"image_(18, 35.52083, 24.02416, 40.48194, 22.65802, 40.49081, 22.64604).jpeg",1
"image_(18, 35.53574, 27.21155, 41.08037, 25.11528, 41.08949, 25.10352).jpeg",1
"image_(18, 35.5369, 23.57054, 39.95629, 23.98652, 39.9653, 23.97481).jpeg",62
"image_(18, 35.5531, 24.07998, 40.49829, 22.70753, 40.50717, 22.69555).jpeg",2
"image_(18, 35.55523, 23.72437, 40.3306, 23.92638, 40.3396, 23.9146).jpeg",9
"image_(18, 35.56417, 23.72404, 40.32251, 23.98416, 40.33152, 23.97239).jpeg",1
"image_(18, 35.57077, 23.58194, 40.07014, 23.80018, 40.07913, 23.78843).jpeg",3
"image_(18, 35.5764, 24.07329, 40.49382, 22.6761, 40.50269, 22.66412).jpeg",4
"image_(18, 35.58169, 23.58904, 40.16883, 23.72218, 40.17781, 23.71039).jpeg",1
"image_(18, 35.58603, 27.06927, 40.77634, 24.71397, 40.78542, 24.70222).jpeg",1
"image_(18, 35.58621, 24.07509, 40.496, 22.67028, 40.50487, 22.6583).jpeg",12
"image_(18, 35.58779, 24.07813, 40.49715, 22.67286, 40.50602, 22.66089).jpeg",12
"image_(18, 35.59078, 24.07763, 40.49694, 22.67141, 40.50581, 22.65943).jpeg",8
"image_(18, 35.5924, 24.07885, 40.49785, 22.67402, 40.50672, 22.66204).jpeg",9
"image_(18, 35.59381, 24.08127, 40.49823, 22.66941, 40.5071, 22.65743).jpeg",10
"image_(18, 35.60185, 25.57353, 40.50013, 22.70557, 40.50901, 22.6936).jpeg",7
"image_(18, 35.60536, 23.57714, 40.01473, 25.44097, 40.02388, 25.42945).jpeg",7
"image_(18, 35.62678, 23.70937, 40.23315, 23.28435, 40.24208, 23.2725).jpeg",12
"image_(18, 35.62732, 23.70915, 40.23203, 23.28224, 40.24097, 23.27039).jpeg",9
"image_(18, 35.63405, 23.59389, 40.18774, 23.80805, 40.19673, 23.79628).jpeg",1
"image_(18, 35.63575, 23.5885, 40.15026, 22.55644, 40.15912, 22.54451).jpeg",3
"image_(18, 35.63594, 23.58846, 40.13022, 23.40844, 40.13917, 23.39662).jpeg",2
"image_(18, 35.64822, 23.70826, 40.21038, 23.77273, 40.21937, 23.76095).jpeg",18
"image_(18, 35.65633, 23.70928, 40.23244, 23.28674, 40.24137, 23.27489).jpeg",1
"image_(18, 35.67035, 23.71831, 40.30691, 23.06014, 40.31582, 23.04825).jpeg",1
"image_(18, 35.67246, 27.11967, 40.85311, 24.70706, 40.86219, 24.69529).jpeg",4
"image_(18, 35.67798, 27.12144, 40.87321, 24.39038, 40.88225, 24.37857).jpeg",7
"image_(18, 35.76683, 27.1616, 39.47552, 19.8635, 39.48409, 19.85137).jpeg",5
"image_(18, 35.7671, 27.16169, 39.47582, 19.86439, 39.48439, 19.85226).jpeg",1
"image_(18, 35.7675, 27.16178, 39.48909, 20.24531, 39.49771, 20.23322).jpeg",1
"image_(18, 35.76791, 27.16187, 39.48964, 20.23743, 39.49825, 20.22534).jpeg",8
"image_(18, 35.77051, 27.16213, 39.47869, 19.86032, 39.48726, 19.84818).jpeg",11
"image_(18, 35.77168, 27.16249, 39.55206, 24.99982, 39.56117, 24.98831).jpeg",2
"image_(18, 35.77285, 27.16276, 39.49101, 19.84873, 39.49958, 19.83659).jpeg",1
"image_(18, 35.77699, 27.16313, 39.54834, 24.99921, 39.55745, 24.9877).jpeg",6
"image_(18, 35.78017, 26.4556, 40.55087, 22.77572, 40.55975, 22.76374).jpeg",3
"image_(18, 35.78093, 27.16416, 39.50387, 19.85252, 39.51244, 19.84039).jpeg",10
"image_(18, 35.78722, 27.16438, 39.53019, 19.84583, 39.53876, 19.83369).jpeg",3
"image_(18, 35.78857, 27.16438, 39.52744, 19.84901, 39.53601, 19.83687).jpeg",4
"image_(18, 35.78964, 27.16438, 39.51853, 20.1707, 39.52713, 20.1586).jpeg",16
"image_(18, 35.79007, 27.16437, 39.50629, 19.85514, 39.51486, 19.843).jpeg",12
"image_(18, 35.79557, 27.16546, 39.57011, 19.82357, 39.57868, 19.81142).jpeg",1
"image_(18, 35.80438, 27.16811, 39.57695, 19.82549, 39.58552, 19.81333).jpeg",1
"image_(18, 35.82561, 26.4617, 39.46939, 19.86786, 39.47797, 19.85573).jpeg",1
"image_(18, 35.83069, 23.3188, 39.41614, 23.16697, 39.42506, 23.15524).jpeg",1
"image_(18, 35.83667, 27.2313, 39.66242, 20.09493, 39.67101, 20.08279).jpeg",37
"image_(18, 35.8368, 27.23115, 39.65957, 20.09826, 39.66816, 20.08612).jpeg",13
"image_(18, 35.83712, 27.23135, 39.65927, 20.08759, 39.66787, 20.07545).jpeg",13
"image_(18, 35.83845, 27.23135, 39.66197, 20.08136, 39.67056, 20.06922).jpeg",26
"image_(18, 35.83867, 27.20784, 39.64545, 20.10556, 39.65405, 20.09342).jpeg",9
"image_(18, 35.83953, 27.23115, 39.65661, 20.10513, 39.66521, 20.093).jpeg",4
"image_(18, 35.84269, 27.20009, 39.61592, 19.93214, 39.6245, 19.91999).jpeg",1
"image_(18, 35.84349, 23.30167, 39.32952, 20.29047, 39.33814, 20.27841).jpeg",3
"image_(18, 35.84459, 27.19919, 39.60728, 19.93428, 39.61586, 19.92214).jpeg",1
"image_(18, 35.84529, 23.29929, 39.38351, 24.16298, 39.39254, 24.15138).jpeg",1
"image_(18, 35.85292, 27.21152, 39.66686, 20.07835, 39.67546, 20.06621).jpeg",25
"image_(18, 35.87665, 27.21177, 39.64218, 19.93093, 39.65076, 19.91878).jpeg",6
"image_(18, 35.87743, 27.74954, 39.67467, 20.02403, 39.68326, 20.01189).jpeg",32
"image_(18, 35.87867, 27.21441, 39.65309, 20.11178, 39.66169, 20.09965).jpeg",55
"image_(18, 35.87943, 27.21406, 39.64884, 20.11326, 39.65744, 20.10113).jpeg",51
"image_(18, 35.87975, 27.21415, 39.65047, 20.12008, 39.65907, 20.10794).jpeg",19
"image_(18, 35.88074, 27.21366, 39.65124, 20.11193, 39.65984, 20.0998).jpeg",59
"image_(18, 35.88638, 27.21461, 39.65003, 20.09714, 39.65863, 20.085).jpeg",5
"image_(18, 35.88697, 27.2348, 39.6638, 20.08918, 39.67239, 20.07704).jpeg",45
"image_(18, 35.89205, 27.21451, 39.65251, 20.11494, 39.66111, 20.10281).jpeg",59
"image_(18, 35.89552, 26.81718, 39.44549, 20.01171, 39.45408, 19.99961).jpeg",2
"image_(18, 35.89895, 23.27826, 39.34539, 22.99242, 39.3543, 22.98069).jpeg",4
"image_(18, 35.90009, 27.21743, 39.6539, 20.09389, 39.66249, 20.08175).jpeg",12
"image_(18, 35.90385, 27.75469, 39.68135, 20.0165, 39.68994, 20.00435).jpeg",21
"image_(18, 36.04253, 26.41404, 39.48084, 20.26208, 39.48945, 20.25).jpeg",2
"image_(18, 36.0586, 27.802, 39.67483, 19.85218, 39.68339, 19.84001).jpeg",19
"image_(18, 36.095, 22.99495, 39.2369, 20.4785, 39.24555, 20.46648).jpeg",1
"image_(18, 36.09971, 22.99543, 39.2648, 26.41386, 39.27404, 26.40259).jpeg",2
"image_(18, 36.11367, 27.70993, 39.6687, 19.71478, 39.67725, 19.7026).jpeg",2
"image_(18, 36.1416, 23.02297, 39.27243, 26.3863, 39.28167, 26.37502).jpeg",2
"image_(18, 36.14834, 22.96245, 39.22543, 20.48082, 39.23408, 20.4688).jpeg",3
"image_(18, 36.1506, 22.97534, 39.26991, 25.88466, 39.27911, 25.87332).jpeg",1
"image_(18, 36.15373, 27.68442, 39.66467, 19.70443, 39.67322, 19.69225).jpeg",1
"image_(18, 36.15622, 27.68406, 39.67735, 20.06406, 39.68594, 20.05191).jpeg",22
"image_(18, 36.16033, 22.9529, 39.21836, 20.4823, 39.227, 20.47028).jpeg",3
"image_(18, 36.16178, 22.93806, 39.26516, 23.29592, 39.2741, 23.28424).jpeg",7
"image_(18, 36.17197, 22.91391, 39.20583, 23.3413, 39.21477, 23.32963).jpeg",1
"image_(18, 36.199, 27.67041, 39.67434, 20.02418, 39.68293, 20.01203).jpeg",30
"image_(18, 36.2106, 27.51899, 39.66749, 20.07735, 39.67609, 20.06521).jpeg",35
"image_(18, 36.21215, 27.51942, 39.67211, 20.06873, 39.6807, 20.05659).jpeg",35
"image_(18, 36.21279, 27.51988, 39.67136, 20.03431, 39.67995, 20.02216).jpeg",74
"image_(18, 36.21559, 27.49491, 39.66714, 20.07186, 39.67573, 20.05972).jpeg",30
"image_(18, 36.21581, 27.5812, 39.67167, 20.03204, 39.68026, 20.0199).jpeg",65
"image_(18, 36.22108, 25.2286, 39.40979, 20.10714, 39.41839, 20.09504).jpeg",1
"image_(18, 36.22262, 23.08179, 39.31617, 24.04788, 39.32518, 24.03628).jpeg",1
"image_(18, 36.22887, 27.62275, 39.67387, 20.04003, 39.68246, 20.02788).jpeg",36
"image_(18, 36.23422, 25.21054, 39.41357, 20.23512, 39.42219, 20.22304).jpeg",1
"image_(18, 36.23485, 25.21037, 39.41225, 20.23516, 39.42086, 20.22309).jpeg",5
"image_(18, 36.23552, 22.90196, 39.12589, 20.25896, 39.13451, 20.24694).jpeg",3
"image_(18, 36.2378, 22.90218, 39.1635, 26.28432, 39.17273, 26.27305).jpeg",6
"image_(18, 36.23826, 27.66865, 39.67509, 20.05155, 39.68368, 20.0394).jpeg",17
"image_(18, 36.24433, 25.19779, 39.42643, 24.18227, 39.43546, 24.17067).jpeg",1
"image_(18, 36.2452, 27.77453, 39.68464, 20.0184, 39.69323, 20.00625).jpeg",17
"image_(18, 36.26032, 26.74666, 39.48799, 20.24763, 39.4966, 20.23554).jpeg",1
"image_(18, 36.26476, 23.07715, 39.29699, 26.08075, 39.30621, 26.06942).jpeg",24
"image_(18, 36.26522, 27.70665, 39.1564, 23.52173, 39.16537, 23.51009).jpeg",1
"image_(18, 36.26621, 25.88217, 39.50203, 24.97693, 39.51113, 24.96543).jpeg",3
"image_(18, 36.26966, 25.82477, 39.43225, 20.09327, 39.44084, 20.08117).jpeg",1
"image_(18, 36.28183, 22.91989, 39.2303, 23.32544, 39.23924, 23.31376).jpeg",2
"image_(18, 36.29541, 25.44149, 39.41085, 20.1055, 39.41945, 20.09341).jpeg",4
"image_(18, 36.30892, 22.90663, 38.38627, 23.97721, 38.39528, 23.96576).jpeg",55
"image_(18, 36.31394, 22.90107, 38.38386, 23.96328, 38.39287, 23.95182).jpeg",34
"image_(18, 36.31686, 22.89393, 38.36055, 22.11216, 38.36937, 22.10048).jpeg",23
"image_(18, 36.32368, 26.7263, 38.96159, 20.83568, 38.97028, 20.82375).jpeg",54
"image_(18, 36.32681, 22.98274, 38.39375, 21.10113, 38.40246, 21.08933).jpeg",1
"image_(18, 36.32719, 22.89524, 38.38158, 23.95784, 38.39059, 23.94638).jpeg",52
"image_(18, 36.32935, 26.66784, 38.95932, 20.799, 38.968, 20.78707).jpeg",31
"image_(18, 36.3313, 26.66603, 38.95115, 20.8312, 38.95983, 20.81928).jpeg",40
"image_(18, 36.33591, 26.65989, 38.95645, 20.8144, 38.96513, 20.80247).jpeg",8
"image_(18, 36.33663, 26.6598, 38.95537, 20.80634, 38.96405, 20.79441).jpeg",14
"image_(18, 36.33973, 22.90307, 38.38284, 23.96252, 38.39185, 23.95107).jpeg",44
"image_(18, 36.34208, 25.76933, 38.8496, 20.75083, 38.85827, 20.73891).jpeg",1
"image_(18, 36.34356, 22.90296, 38.38462, 24.05592, 38.39364, 24.04448).jpeg",2
"image_(18, 36.34444, 26.66366, 38.95097, 20.83021, 38.95965, 20.81829).jpeg",37
"image_(18, 36.34489, 26.6633, 38.95071, 20.82092, 38.95939, 20.809).jpeg",8
"image_(18, 36.34551, 25.84055, 38.8952, 22.95921, 38.90411, 22.94755).jpeg",38
"image_(18, 36.34566, 25.8386, 38.89502, 22.94934, 38.90392, 22.93767).jpeg",17
"image_(18, 36.34619, 25.84858, 38.89606, 22.96282, 38.90496, 22.95115).jpeg",27
"image_(18, 36.34736, 25.85181, 38.89644, 22.95921, 38.90535, 22.94755).jpeg",52
"image_(18, 36.34934, 25.38237, 38.83499, 22.72559, 38.84388, 22.71391).jpeg",15
"image_(18, 36.35048, 25.85696, 38.89623, 22.96481, 38.90514, 22.95315).jpeg",74
"image_(18, 36.35118, 25.38006, 38.8302, 22.57496, 38.83907, 22.56326).jpeg",1
"image_(18, 36.35172, 22.9069, 38.34146, 20.74621, 38.35014, 20.73438).jpeg",33
"image_(18, 36.35455, 26.65463, 38.95274, 20.81386, 38.96142, 20.80194).jpeg",22
"image_(18, 36.35747, 25.85464, 38.88688, 22.93969, 38.89578, 22.92803).jpeg",61
"image_(18, 36.35787, 25.35379, 38.8158, 22.82318, 38.82469, 22.81151).jpeg",2
"image_(18, 36.35809, 25.85612, 38.89722, 22.96246, 38.90613, 22.9508).jpeg",13
"image_(18, 36.36229, 25.83061, 38.8901, 22.94082, 38.899, 22.92916).jpeg",77
"image_(18, 36.37185, 25.82631, 38.88994, 22.94003, 38.89885, 22.92836).jpeg",45
"image_(18, 36.38523, 22.48308, 38.31563, 24.08718, 38.32465, 24.07575).jpeg",5
"image_(18, 36.38936, 25.74989, 38.88363, 22.92185, 38.89254, 22.91019).jpeg",3
"image_(18, 36.38949, 25.74975, 38.84192, 20.71658, 38.8506, 20.70467).jpeg",2
"image_(18, 36.39267, 25.38411, 38.83527, 22.7264, 38.84416, 22.71472).jpeg",17
"image_(18, 36.3945, 25.39324, 38.84242, 22.72265, 38.8513, 22.71097).jpeg",38
"image_(18, 36.39501, 22.47976, 38.30657, 22.60943, 38.31544, 22.59783).jpeg",29
"image_(18, 36.39638, 25.38551, 38.83599, 22.72371, 38.84487, 22.71203).jpeg",20
"image_(18, 36.39707, 25.37638, 38.7504, 20.78155, 38.75908, 20.76965).jpeg",25
"image_(18, 36.4031, 22.50037, 38.2831, 21.10851, 38.29181, 21.09673).jpeg",9
"image_(18, 36.40755, 22.4687, 38.28841, 25.93266, 38.2976, 25.92147).jpeg",7
"image_(18, 36.40881, 25.40335, 38.85958, 22.56531, 38.86844, 22.5536).jpeg",3
"image_(18, 36.41111, 25.38808, 38.83995, 22.71845, 38.84884, 22.70677).jpeg",39
"image_(18, 36.41227, 25.4009, 38.80815, 20.73405, 38.81683, 20.72214).jpeg",1
"image_(18, 36.41486, 25.33952, 38.81124, 22.82247, 38.82014, 22.81081).jpeg",5
"image_(18, 36.41544, 26.58939, 38.95064, 20.82926, 38.95932, 20.81733).jpeg",40
"image_(18, 36.41806, 25.33572, 38.76761, 20.60257, 38.77627, 20.59065).jpeg",1
"image_(18, 36.41829, 26.59472, 38.95103, 20.81955, 38.95971, 20.80763).jpeg",35
"image_(18, 36.41862, 25.32934, 38.81054, 22.82232, 38.81944, 22.81066).jpeg",4
"image_(18, 36.41954, 26.62207, 38.95126, 20.83156, 38.95995, 20.81964).jpeg",37
"image_(18, 36.4283, 27.2923, 39.11451, 22.96477, 39.12342, 22.95307).jpeg",9
"image_(18, 36.42907, 22.48667, 38.31678, 24.09587, 38.3258, 24.08444).jpeg",13
"image_(18, 36.43075, 27.29309, 39.11813, 23.15992, 39.12706, 23.14824).jpeg",1
"image_(18, 36.43164, 22.49045, 38.31811, 24.09477, 38.32713, 24.08334).jpeg",19
"image_(18, 36.43457, 22.46242, 38.23942, 20.46373, 38.24807, 20.45188).jpeg",30
"image_(18, 36.43644, 22.46065, 38.23869, 20.46227, 38.24734, 20.45043).jpeg",26
"image_(18, 36.43708, 23.19139, 38.51292, 23.35371, 38.52187, 23.34216).jpeg",18
"image_(18, 36.43742, 22.4599, 38.23797, 20.46746, 38.24662, 20.45561).jpeg",30
"image_(18, 36.43747, 23.19049, 38.49138, 26.28171, 38.50061, 26.27054).jpeg",18
"image_(18, 36.43754, 25.35618, 38.81615, 22.82322, 38.82504, 22.81156).jpeg",4
"image_(18, 36.43777, 23.0951, 38.4673, 21.05757, 38.47601, 21.04575).jpeg",5
"image_(18, 36.43823, 23.17272, 38.48753, 26.28788, 38.49675, 26.27671).jpeg",41
"image_(18, 36.43962, 23.09323, 38.46694, 21.05858, 38.47565, 21.04676).jpeg",7
"image_(18, 36.43998, 23.08575, 38.45327, 21.07947, 38.46198, 21.06766).jpeg",38
"image_(18, 36.44029, 22.45927, 38.23272, 20.46933, 38.24137, 20.45749).jpeg",10
"image_(18, 36.44052, 23.09293, 38.46617, 21.05887, 38.47488, 21.04706).jpeg",6
"image_(18, 36.44074, 22.45936, 38.23658, 20.46411, 38.24523, 20.45227).jpeg",26
"image_(18, 36.44307, 23.08724, 38.4557, 21.10449, 38.46442, 21.09268).jpeg",23
"image_(18, 36.44308, 23.08738, 38.45671, 21.07271, 38.46542, 21.0609).jpeg",88
"image_(18, 36.44631, 23.08405, 38.45331, 21.10719, 38.46203, 21.09538).jpeg",14
"image_(18, 36.44655, 23.08388, 38.45343, 21.10843, 38.46214, 21.09662).jpeg",19
"image_(18, 36.44959, 23.08175, 38.4672, 26.16434, 38.47642, 26.15315).jpeg",1
"image_(18, 36.45049, 23.08157, 38.46784, 26.16438, 38.47706, 26.1532).jpeg",3
"image_(18, 36.45521, 22.98838, 38.40463, 21.08973, 38.41334, 21.07793).jpeg",45
"image_(18, 36.4573, 22.98376, 38.4006, 21.09489, 38.40931, 21.08309).jpeg",21
"image_(18, 36.45835, 25.39515, 38.84545, 22.69883, 38.85433, 22.68715).jpeg",1
"image_(18, 36.45844, 25.38958, 38.84155, 22.71892, 38.85043, 22.70724).jpeg",44
"image_(18, 36.46428, 22.92918, 38.36266, 21.04604, 38.37137, 21.03424).jpeg",67
"image_(18, 36.46814, 23.06661, 38.42197, 21.08049, 38.43068, 21.06868).jpeg",37
"image_(18, 36.46851, 22.39004, 38.25928, 24.11134, 38.2683, 24.09992).jpeg",62
"image_(18, 36.46922, 23.06672, 38.42152, 21.0828, 38.43023, 21.07099).jpeg",38
"image_(18, 36.4696, 22.39012, 38.20908, 20.48383, 38.21773, 20.47199).jpeg",14
"image_(18, 36.47011, 22.92294, 38.35485, 21.05195, 38.36356, 21.04015).jpeg",67
"image_(18, 36.47138, 22.3857, 38.20518, 20.48307, 38.21383, 20.47123).jpeg",25
"image_(18, 36.47236, 23.06465, 38.41704, 21.08716, 38.42575, 21.07536).jpeg",36
"image_(18, 36.4801, 23.06813, 38.43093, 21.09222, 38.43964, 21.08041).jpeg",26
"image_(18, 36.48252, 23.06894, 38.43168, 21.0912, 38.4404, 21.07939).jpeg",25
"image_(18, 36.48257, 25.38869, 38.84127, 22.71754, 38.85015, 22.70586).jpeg",32
"image_(18, 36.48597, 22.36365, 38.12428, 20.49452, 38.13294, 20.4827).jpeg",3
"image_(18, 36.48883, 23.15576, 38.47199, 21.10787, 38.4807, 21.09606).jpeg",5
"image_(18, 36.49051, 23.06381, 38.42545, 21.34733, 38.43419, 21.33555).jpeg",2
"image_(18, 36.49444, 22.93532, 38.36255, 21.04195, 38.37126, 21.03015).jpeg",63
"image_(18, 36.49577, 23.13912, 38.46822, 21.06008, 38.47693, 21.04827).jpeg",7
"image_(18, 36.49671, 23.06857, 38.43869, 21.05253, 38.4474, 21.04072).jpeg",13
"image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg",22
"image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg",27
"image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg",35
"image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg",9
"image_(18, 36.51033, 22.98136, 38.39282, 21.10338, 38.40153, 21.09159).jpeg",1
"image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg",51
"image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg",20
"image_(18, 36.52359, 22.96809, 38.41854, 23.60826, 38.42751, 23.59675).jpeg",2
"image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg",48
