image,detections
"image_(18, 36.94386, 25.07575, 37.49765, 22.92313, 37.50656, 22.91169).jpeg",66
"image_(18, 36.94679, 26.99074, 37.85863, 20.62936, 37.86731, 20.6176).jpeg",1
"image_(18, 36.9472, 27.03594, 37.91362, 23.02847, 37.92254, 23.01697).jpeg",1
"image_(18, 36.94766, 26.92606, 37.77931, 20.90904, 37.78802, 20.89733).jpeg",6
"image_(18, 36.94802, 24.67668, 37.45847, 23.05376, 37.4674, 23.04234).jpeg",32
"image_(18, 36.9482, 26.92085, 37.81113, 23.81935, 37.82012, 23.80797).jpeg",1
"image_(18, 36.94834, 26.98476, 37.90046, 24.91366, 37.90956, 24.9024).jpeg",1
"image_(18, 36.95301, 25.05747, 37.46171, 27.00086, 37.47099, 26.98993).jpeg",13
"image_(18, 36.95431, 26.91106, 37.80117, 23.18156, 37.8101, 23.1701).jpeg",27
"image_(18, 36.95549, 25.53006, 37.60661, 23.31446, 37.61555, 23.30305).jpeg",22
"image_(18, 36.95566, 24.95961, 37.49001, 22.93921, 37.49892, 22.92778).jpeg",54
"image_(18, 36.95636, 22.14259, 36.92838, 27.16263, 36.93768, 27.15179).jpeg",8
"image_(18, 36.95674, 25.0524, 37.46215, 27.00235, 37.47144, 26.99142).jpeg",13
"image_(18, 36.95718, 24.98035, 37.4912, 22.93785, 37.50011, 22.92641).jpeg",56
"image_(18, 36.9576, 24.9807, 37.49133, 22.9399, 37.50024, 22.92846).jpeg",42
"image_(18, 36.95814, 27.04125, 37.91633, 24.68963, 37.92541, 24.67834).jpeg",5
"image_(18, 36.95898, 27.03251, 37.91207, 23.09805, 37.921, 23.08656).jpeg",1
"image_(18, 36.96064, 25.04729, 37.49523, 22.92919, 37.50414, 22.91775).jpeg",28
"image_(18, 36.96392, 27.04216, 37.92403, 23.42158, 37.93298, 23.41013).jpeg",29
"image_(18, 36.96392, 27.04248, 37.92406, 23.42266, 37.93302, 23.41122).jpeg",23
"image_(18, 36.96401, 25.04615, 37.46139, 27.00505, 37.47067, 26.99411).jpeg",14
"image_(18, 36.96451, 27.04207, 37.91638, 24.69288, 37.92546, 24.68158).jpeg",61
"image_(18, 36.96515, 26.92644, 37.81446, 23.16419, 37.82339, 23.15273).jpeg",23
"image_(18, 36.96603, 22.14019, 36.93754, 21.69402, 36.94633, 21.68253).jpeg",2
"image_(18, 36.96785, 24.98321, 37.49511, 23.45296, 37.50407, 23.44158).jpeg",3
"image_(18, 36.96855, 24.66787, 37.4452, 23.07304, 37.45412, 23.06162).jpeg",14
"image_(18, 36.97131, 26.29139, 37.7228, 21.31179, 37.73155, 21.30013).jpeg",14
"image_(18, 36.97293, 26.92974, 37.79173, 26.68941, 37.801, 26.67839).jpeg",1
"image_(18, 36.97448, 27.03532, 37.91511, 23.41422, 37.92406, 23.40277).jpeg",1
"image_(18, 36.9747, 27.03547, 37.91479, 24.69674, 37.92387, 24.68545).jpeg",71
"image_(18, 36.97653, 26.30225, 37.75359, 23.18017, 37.76252, 23.16872).jpeg",3
"image_(18, 36.97911, 26.26632, 37.74295, 23.43004, 37.75191, 23.41862).jpeg",13
"image_(18, 36.98009, 26.30492, 37.75411, 23.18069, 37.76304, 23.16924).jpeg",4
"image_(18, 36.98063, 21.652, 36.80945, 21.72496, 36.81824, 21.71349).jpeg",1
"image_(18, 36.98207, 26.2755, 37.70565, 20.7577, 37.71434, 20.74598).jpeg",2
"image_(18, 36.98227, 26.2754, 37.70989, 20.97022, 37.71859, 20.95852).jpeg",5
"image_(18, 36.98326, 25.6883, 37.64536, 24.10845, 37.65439, 24.09713).jpeg",2
"image_(18, 36.98508, 26.27141, 37.69784, 20.76383, 37.70652, 20.75211).jpeg",3
"image_(18, 36.98835, 24.66257, 37.44449, 25.33217, 37.45363, 25.32103).jpeg",8
"image_(18, 36.99898, 26.46192, 37.85182, 24.78977, 37.86091, 24.7785).jpeg",1
"image_(18, 36.99973, 26.42531, 37.79024, 26.67574, 37.7995, 26.66471).jpeg",1
"image_(18, 37.00186, 26.90632, 37.75474, 20.70144, 37.76342, 20.68971).jpeg",19
"image_(18, 37.00632, 25.02244, 37.45989, 27.00577, 37.46918, 26.99483).jpeg",12
"image_(18, 37.00726, 26.94008, 37.88482, 23.42564, 37.89378, 23.41419).jpeg",31
"image_(18, 37.0095, 27.01099, 37.90799, 23.05867, 37.91691, 23.04718).jpeg",1
"image_(18, 37.01058, 25.02087, 37.49266, 22.93409, 37.50157, 22.92265).jpeg",44
"image_(18, 37.01114, 27.01194, 37.90817, 23.06002, 37.91709, 23.04853).jpeg",1
"image_(18, 37.01252, 25.07689, 37.49797, 22.91906, 37.50688, 22.90762).jpeg",68
"image_(18, 37.01382, 27.02981, 37.90939, 23.06065, 37.91831, 23.04916).jpeg",2
"image_(18, 37.01503, 24.65171, 37.42622, 24.94693, 37.43533, 24.93575).jpeg",2
"image_(18, 37.01508, 27.02995, 37.91095, 23.09265, 37.91988, 23.08117).jpeg",3
"image_(18, 37.01778, 24.65143, 37.41712, 25.41673, 37.42627, 25.4056).jpeg",2
"image_(18, 37.01981, 23.00447, 37.0601, 25.09528, 37.06921, 25.08416).jpeg",2
"image_(18, 37.02091, 22.11264, 36.92663, 21.66723, 36.93541, 21.65574).jpeg",1
"image_(18, 37.02333, 22.10592, 36.93931, 25.0813, 36.94842, 25.07019).jpeg",4
"image_(18, 37.02439, 25.36229, 37.54632, 23.48788, 37.55528, 23.4765).jpeg",37
"image_(18, 37.02837, 26.95587, 37.85319, 23.15331, 37.86212, 23.14184).jpeg",11
"image_(18, 37.03015, 26.9555, 37.85298, 23.14845, 37.86191, 23.13698).jpeg",12
"image_(18, 37.03017, 26.9557, 37.88584, 23.41689, 37.8948, 23.40544).jpeg",2
"image_(18, 37.03642, 21.6041, 36.81257, 25.75854, 36.82174, 25.74754).jpeg",1
"image_(18, 37.03705, 26.92125, 37.77564, 26.90014, 37.78492, 26.88915).jpeg",1
"image_(18, 37.03807, 24.65174, 37.42776, 24.94969, 37.43686, 24.9385).jpeg",1
"image_(18, 37.03947, 25.08696, 37.4682, 26.99801, 37.47748, 26.98707).jpeg",15
"image_(18, 37.04176, 21.54802, 36.7973, 25.74913, 36.80648, 25.73813).jpeg",3
"image_(18, 37.04675, 26.91822, 37.80417, 23.26854, 37.81311, 23.25709).jpeg",11
"image_(18, 37.04743, 26.91815, 37.80405, 23.26818, 37.81299, 23.25673).jpeg",8
"image_(18, 37.057, 26.96531, 37.89951, 24.90631, 37.90861, 24.89505).jpeg",1
"image_(18, 37.05804, 26.90839, 37.79884, 23.2641, 37.80779, 23.25265).jpeg",9
"image_(18, 37.06466, 25.08972, 37.46917, 27.00223, 37.47846, 26.99129).jpeg",10
"image_(18, 37.06631, 25.0931, 37.46971, 26.99419, 37.479, 26.98325).jpeg",13
"image_(18, 37.0686, 22.97832, 37.03297, 21.60585, 37.04175, 21.59433).jpeg",1
"image_(18, 37.07219, 22.97225, 37.04611, 25.32237, 37.05524, 25.31128).jpeg",3
"image_(18, 37.08709, 25.339, 37.51224, 26.50767, 37.52149, 26.49667).jpeg",1
"image_(18, 37.08847, 25.35984, 37.54509, 23.48664, 37.55405, 23.47525).jpeg",41
"image_(18, 37.08929, 25.81386, 37.66325, 23.95091, 37.67226, 23.93956).jpeg",12
"image_(18, 37.09095, 25.35713, 37.48571, 22.94271, 37.49463, 22.93127).jpeg",1
"image_(18, 37.09322, 25.68865, 37.6479, 23.96688, 37.65691, 23.95554).jpeg",8
"image_(18, 37.10485, 25.37409, 37.55452, 23.37285, 37.56347, 23.36145).jpeg",2
"image_(18, 37.11016, 26.83161, 37.77176, 24.9599, 37.78086, 24.94866).jpeg",3
"image_(18, 37.11236, 26.82342, 37.77103, 23.18201, 37.77996, 23.17055).jpeg",16
"image_(18, 37.11595, 26.82749, 37.77138, 23.18285, 37.78031, 23.1714).jpeg",16
"image_(18, 37.11732, 26.90091, 37.79248, 23.18339, 37.80142, 23.17193).jpeg",22
"image_(18, 37.11744, 26.81458, 37.76074, 23.16609, 37.76967, 23.15464).jpeg",11
"image_(18, 37.12077, 26.81242, 37.76035, 23.16326, 37.76928, 23.15181).jpeg",13
"image_(18, 37.12575, 24.45812, 37.34615, 23.07639, 37.35508, 23.06499).jpeg",6
"image_(18, 37.12616, 25.23745, 37.53077, 23.47973, 37.53973, 23.46835).jpeg",23
"image_(18, 37.12665, 25.24661, 37.53256, 23.47136, 37.54153, 23.45998).jpeg",8
"image_(18, 37.12701, 25.81084, 37.6632, 23.95253, 37.6722, 23.94118).jpeg",14
"image_(18, 37.13385, 25.8245, 37.66345, 23.94995, 37.67246, 23.9386).jpeg",14
"image_(18, 37.13391, 24.41767, 37.31988, 23.18677, 37.32881, 23.17538).jpeg",8
"image_(18, 37.14255, 24.42605, 37.31873, 22.82983, 37.32763, 22.81841).jpeg",38
"image_(18, 37.14519, 22.89382, 37.01932, 22.11127, 37.02815, 22.09981).jpeg",2
"image_(18, 37.14839, 26.80357, 37.75786, 23.16269, 37.76679, 23.15124).jpeg",15
"image_(18, 37.14983, 24.42349, 37.31922, 22.82409, 37.32812, 22.81267).jpeg",16
"image_(18, 37.15221, 25.2635, 37.50809, 26.49287, 37.51733, 26.48187).jpeg",3
"image_(18, 37.1532, 25.2904, 37.53156, 22.9133, 37.54047, 22.90186).jpeg",2
"image_(18, 37.15543, 26.7951, 37.75721, 23.17758, 37.76614, 23.16613).jpeg",3
"image_(18, 37.15978, 25.46866, 37.57854, 22.75308, 37.58743, 22.74161).jpeg",2
"image_(18, 37.16056, 25.46811, 37.57822, 22.75328, 37.58711, 22.7418).jpeg",2
"image_(18, 37.17476, 24.4318, 37.2979, 26.60848, 37.30715, 26.59752).jpeg",2
"image_(18, 37.17773, 26.76679, 37.8669, 23.0846, 37.87583, 23.07312).jpeg",3
"image_(18, 37.1907, 26.76534, 37.86456, 23.08062, 37.87348, 23.06914).jpeg",5
"image_(18, 37.19173, 26.80752, 37.75905, 23.16474, 37.76799, 23.15328).jpeg",17
"image_(18, 37.19396, 26.75588, 37.86361, 23.07889, 37.87254, 23.0674).jpeg",7
"image_(18, 37.19405, 26.75753, 37.8637, 23.07955, 37.87262, 23.06807).jpeg",3
"image_(18, 37.20066, 24.45919, 37.34559, 22.80547, 37.35449, 22.79404).jpeg",36
"image_(18, 37.20542, 24.47195, 37.3471, 22.80535, 37.356, 22.79391).jpeg",25
"image_(18, 37.22906, 23.15718, 37.08375, 26.89387, 37.09302, 26.88297).jpeg",1
"image_(18, 37.23773, 23.12658, 37.09594, 22.96434, 37.10485, 22.95296).jpeg",2
"image_(18, 37.24527, 22.86886, 37.01841, 22.12162, 37.02724, 22.11016).jpeg",1
"image_(18, 37.24554, 23.16674, 37.11479, 26.81376, 37.12406, 26.80285).jpeg",2
"image_(18, 37.24614, 23.12001, 37.08638, 25.36267, 37.09552, 25.35158).jpeg",3
"image_(18, 37.24863, 23.11434, 37.0839, 25.36538, 37.09304, 25.35429).jpeg",4
"image_(18, 37.25084, 26.71918, 37.85445, 23.1533, 37.86338, 23.14183).jpeg",15
"image_(18, 37.25198, 23.16636, 37.11257, 26.83402, 37.12184, 26.82312).jpeg",31
"image_(18, 37.25502, 23.11057, 37.08252, 25.34454, 37.09166, 25.33345).jpeg",3
"image_(18, 37.25785, 23.10923, 37.07487, 25.13471, 37.08399, 25.12359).jpeg",5
"image_(18, 37.26396, 26.75116, 37.86173, 23.08898, 37.87065, 23.0775).jpeg",52
"image_(18, 37.26549, 23.10528, 37.07475, 25.09955, 37.08387, 25.08843).jpeg",2
"image_(18, 37.26751, 23.28015, 37.18854, 26.80126, 37.19781, 26.79034).jpeg",12
"image_(18, 37.26845, 23.15668, 37.11033, 24.51558, 37.1194, 24.50438).jpeg",25
"image_(18, 37.27502, 26.74764, 37.86134, 23.09, 37.87026, 23.07852).jpeg",35
"image_(18, 37.2781, 26.54326, 37.85175, 23.14813, 37.86068, 23.13666).jpeg",12
"image_(18, 37.2813, 27.08036, 36.79252, 25.31586, 36.80166, 25.30481).jpeg",3
"image_(18, 37.28251, 26.54369, 37.85182, 23.14921, 37.86075, 23.13773).jpeg",12
"image_(18, 37.28544, 23.17591, 37.15836, 24.4416, 37.16742, 24.43039).jpeg",4
"image_(18, 37.28864, 23.16793, 37.11764, 26.81701, 37.12691, 26.8061).jpeg",2
"image_(18, 37.29286, 26.73982, 36.76931, 24.43272, 36.77837, 24.42157).jpeg",2
"image_(18, 37.29531, 23.37708, 37.20023, 26.78925, 37.2095, 26.77832).jpeg",5
"image_(18, 37.29557, 23.15125, 37.10616, 24.50994, 37.11522, 24.49874).jpeg",5
"image_(18, 37.29621, 23.36747, 37.19455, 26.79858, 37.20382, 26.78766).jpeg",5
"image_(18, 37.30128, 23.13881, 37.073, 25.14035, 37.08212, 25.12924).jpeg",1
"image_(18, 37.30305, 23.20079, 37.18058, 26.77656, 37.18985, 26.76563).jpeg",20
"image_(18, 37.30317, 23.14038, 37.07333, 25.10564, 37.08245, 25.09452).jpeg",4
"image_(18, 37.30337, 23.14397, 37.09641, 22.96559, 37.10533, 22.95422).jpeg",2
"image_(18, 37.30494, 23.37636, 37.19715, 26.78419, 37.20642, 26.77326).jpeg",6
"image_(18, 37.306, 24.5226, 37.38838, 24.88785, 37.39748, 24.87666).jpeg",1
"image_(18, 37.3065, 27.08972, 36.78154, 21.76411, 36.79034, 21.75265).jpeg",7
"image_(18, 37.30676, 23.13836, 37.0868, 22.97175, 37.09571, 22.96037).jpeg",16
"image_(18, 37.30785, 23.20263, 37.18478, 26.80776, 37.19405, 26.79684).jpeg",3
"image_(18, 37.31771, 23.50231, 35.29137, 25.43761, 35.30051, 25.42678).jpeg",1
"image_(18, 37.32155, 24.42413, 35.58627, 24.08315, 35.59529, 24.07212).jpeg",1
"image_(18, 37.32333, 24.41536, 35.56628, 23.58749, 35.57525, 23.5764).jpeg",1
"image_(18, 37.33174, 26.53291, 36.65713, 22.82244, 36.66603, 22.81111).jpeg",1
"image_(18, 37.34095, 26.53691, 36.61647, 27.87988, 36.62582, 27.86917).jpeg",1
"image_(18, 37.34476, 23.24124, 34.92086, 24.77737, 34.92994, 24.7665).jpeg",5
"image_(18, 37.3451, 23.23417, 34.87694, 25.73091, 34.88611, 25.72016).jpeg",1
"image_(18, 37.37493, 24.90963, 35.78051, 27.16874, 35.7898, 27.15805).jpeg",1
"image_(18, 37.37509, 25.21537, 36.16779, 22.94227, 36.17671, 22.93103).jpeg",1
"image_(18, 37.39129, 24.47869, 35.62815, 27.16873, 35.63744, 27.15806).jpeg",1
"image_(18, 37.39313, 24.45914, 35.58192, 27.07184, 35.59121, 27.06116).jpeg",3
"image_(18, 37.39457, 24.47087, 35.62788, 27.1681, 35.63718, 27.15743).jpeg",1
"image_(18, 37.39794, 24.46957, 35.66168, 23.72186, 35.67067, 23.71078).jpeg",1
"image_(18, 37.39974, 24.97246, 35.89015, 23.30646, 35.89911, 23.2953).jpeg",4
"image_(18, 37.40446, 26.72259, 36.76666, 24.4245, 36.77571, 24.41335).jpeg",1
"image_(18, 37.41158, 25.56727, 36.25855, 27.78036, 36.2679, 27.76969).jpeg",5
"image_(18, 37.41539, 25.57156, 36.32262, 22.98935, 36.33154, 22.9781).jpeg",2
"image_(18, 37.42004, 25.32535, 36.18018, 28.13707, 36.18956, 28.12645).jpeg",8
"image_(18, 37.42116, 24.3646, 35.47585, 23.57403, 35.48482, 23.56295).jpeg",2
"image_(18, 37.42201, 24.36479, 35.47554, 24.11705, 35.48456, 24.10604).jpeg",15
"image_(18, 37.43598, 24.94131, 35.86567, 23.28818, 35.87462, 23.27702).jpeg",5
"image_(18, 37.43787, 24.37583, 35.45594, 26.91615, 35.46521, 26.90547).jpeg",1
"image_(18, 37.45437, 25.48009, 36.27766, 26.69637, 36.28692, 26.68555).jpeg",7
"image_(18, 37.45517, 27.00153, 36.7638, 21.69874, 36.77259, 21.68728).jpeg",1
"image_(18, 37.46022, 25.48741, 36.25195, 27.7743, 36.2613, 27.76362).jpeg",10
"image_(18, 37.46202, 26.9442, 36.49225, 23.0742, 36.50118, 23.06293).jpeg",2
"image_(18, 37.46851, 24.40934, 35.56101, 23.59119, 35.56998, 23.58011).jpeg",1
"image_(18, 37.47565, 23.91733, 35.33787, 26.87064, 35.34713, 26.85997).jpeg",1
"image_(18, 37.4759, 26.93195, 36.4699, 22.38116, 36.47876, 22.36981).jpeg",2
"image_(18, 37.48039, 23.9124, 35.36399, 24.48659, 35.37305, 24.47564).jpeg",1
"image_(18, 37.49195, 23.4617, 35.25722, 23.54457, 35.26619, 23.53353).jpeg",4
"image_(18, 37.49442, 23.45816, 35.2581, 23.54355, 35.26707, 23.53251).jpeg",1
"image_(18, 37.49792, 25.32996, 36.26017, 22.91954, 36.26908, 22.90828).jpeg",1
"image_(18, 37.49854, 25.33247, 36.20043, 28.14849, 36.2098, 28.13787).jpeg",1
"image_(18, 37.50187, 23.44311, 35.21867, 23.68077, 35.22765, 23.66974).jpeg",1
"image_(18, 37.51378, 23.53586, 35.29231, 25.43605, 35.30146, 25.42521).jpeg",1
"image_(18, 37.51419, 23.43673, 35.19995, 25.72761, 35.20912, 25.71682).jpeg",2
"image_(18, 37.52735, 25.21293, 36.16751, 22.91953, 36.17642, 22.90829).jpeg",3
"image_(18, 37.53175, 26.49975, 36.61383, 24.96006, 36.62294, 24.94899).jpeg",1
"image_(18, 37.53195, 23.46262, 35.25736, 23.54583, 35.26633, 23.53479).jpeg",2
"image_(18, 37.53525, 23.47404, 35.25433, 26.22661, 35.26354, 26.21587).jpeg",13
"image_(18, 37.53772, 23.47379, 35.26818, 23.5438, 35.27715, 23.53275).jpeg",2
"image_(18, 37.53881, 23.47375, 35.26468, 23.54635, 35.27365, 23.53531).jpeg",2
"image_(18, 37.54052, 23.47445, 35.25158, 26.22634, 35.2608, 26.2156).jpeg",19
"image_(18, 37.55321, 26.48497, 36.6001, 24.90962, 36.6092, 24.89855).jpeg",1
"image_(18, 37.55861, 23.3622, 35.17124, 24.39833, 35.18029, 24.38739).jpeg",1
"image_(18, 37.59474, 26.02881, 36.39039, 25.39154, 36.39953, 25.38055).jpeg",2
"image_(18, 37.59501, 26.50141, 36.59416, 26.3996, 36.60339, 26.38871).jpeg",45
"image_(18, 37.60205, 26.55172, 36.68746, 24.33228, 36.6965, 24.32112).jpeg",2
"image_(18, 37.60436, 26.47543, 36.57685, 22.3784, 36.58571, 22.36704).jpeg",6
"image_(18, 37.60595, 24.3213, 35.4224, 27.17783, 35.43169, 27.16718).jpeg",1
"image_(18, 37.63422, 26.17818, 36.40349, 25.39266, 36.41263, 25.38167).jpeg",4
"image_(18, 37.63488, 26.21738, 36.40654, 25.39358, 36.41568, 25.38259).jpeg",1
"image_(18, 37.63628, 25.17216, 36.13849, 23.00909, 36.14741, 22.99786).jpeg",2
"image_(18, 37.63856, 25.17569, 36.07174, 28.14506, 36.08112, 28.13446).jpeg",5
"image_(18, 37.63936, 25.17662, 36.14388, 22.96807, 36.1528, 22.95684).jpeg",3
"image_(18, 37.64533, 26.50273, 36.60379, 26.34905, 36.61301, 26.33815).jpeg",3
"image_(18, 37.64751, 26.23968, 36.40682, 25.40838, 36.41597, 25.39739).jpeg",1
"image_(18, 37.64812, 26.50268, 36.60152, 26.3975, 36.61075, 26.3866).jpeg",13
"image_(18, 37.65049, 24.10288, 35.46009, 23.55946, 35.46906, 23.54839).jpeg",16
"image_(18, 37.65305, 24.29265, 35.43275, 27.1027, 35.44203, 27.09204).jpeg",4
"image_(18, 37.65673, 23.95862, 35.40594, 24.82148, 35.41503, 24.81055).jpeg",2
"image_(18, 37.68729, 26.94522, 36.49615, 23.07123, 36.50508, 23.05996).jpeg",4
"image_(18, 37.69524, 24.9318, 35.85792, 23.29065, 35.86687, 23.27949).jpeg",2
"image_(18, 37.69859, 23.26601, 34.92831, 24.88997, 34.9374, 24.87912).jpeg",2
"image_(18, 37.70123, 24.92506, 35.79973, 27.17346, 35.80902, 27.16277).jpeg",1
"image_(18, 37.71961, 23.94523, 35.39229, 23.55575, 35.40126, 23.54469).jpeg",2
"image_(18, 37.72869, 24.15554, 35.42154, 27.11271, 35.43083, 27.10206).jpeg",1
"image_(18, 37.73383, 26.56935, 36.67197, 21.89994, 36.68078, 21.88851).jpeg",7
"image_(18, 37.73979, 23.89943, 35.36425, 24.48579, 35.37331, 24.47483).jpeg",2
"image_(18, 37.74416, 23.42743, 35.19006, 25.86862, 35.19924, 25.85785).jpeg",1
"image_(18, 37.74539, 23.42726, 35.18851, 25.72593, 35.19768, 25.71514).jpeg",2
"image_(18, 37.74743, 23.42433, 35.1948, 24.07042, 35.20382, 24.05945).jpeg",4
"image_(18, 37.75712, 23.89868, 35.36422, 24.43503, 35.37327, 24.42407).jpeg",1
"image_(18, 37.76729, 26.96253, 36.507, 22.98638, 36.51592, 22.9751).jpeg",1
"image_(18, 37.76738, 26.96226, 36.50588, 22.987, 36.51479, 22.97572).jpeg",2
"image_(18, 37.76739, 26.96219, 36.50402, 22.9881, 36.51294, 22.97682).jpeg",3
"image_(18, 37.7708, 26.63313, 36.74863, 22.57699, 36.75751, 22.56562).jpeg",1
"image_(18, 37.77575, 24.95311, 35.87589, 23.28279, 35.88484, 23.27163).jpeg",1
